,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-05-13 12:50:27.000000,2021-05-11 21:13:55.000000,4009.0,1436.0,5220.0,14786.0,25050.0,2021-01-30 02:36:56.000000,7.18.1,317251.0,20780401.0,51.0,195709.0,195709.0,809.0,https://pypi.org/project/ipython,20672249.0,https://anaconda.org/conda-forge/ipython,2021-05-06 02:03:34.754000,6389249.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-05-13 13:25:12.000000,2021-05-13 13:23:17.000000,3301.0,1985.0,2225.0,9079.0,12052.0,2021-03-22 10:26:26.000000,6.3.0,259.0,11797617.0,21.0,103018.0,103018.0,553.0,https://pypi.org/project/notebook,11520210.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1373499.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-05-12 09:30:19.020605,829.0,18322289.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-05-13 13:56:35.000000,2021-05-13 13:32:58.000000,1917.0,1761.0,3911.0,11076.0,23229.0,2021-05-10 16:05:33.000000,3.0.15,,984048.0,210.0,40004.0,40004.0,413.0,https://pypi.org/project/jupyterlab,919766.0,https://anaconda.org/conda-forge/jupyterlab,2021-05-13 12:00:56.613000,3792674.0,1.0,,,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-05-12 00:41:13.000000,2021-05-08 13:40:35.000000,721.0,516.0,1115.0,2223.0,6979.0,2021-02-07 22:09:48.000000,7.6.3,,10951576.0,29.0,1627.0,1627.0,173.0,https://pypi.org/project/ipywidgets,10752885.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3109721.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,147712.0,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-05-13 00:54:34.000000,2021-05-06 07:58:16.000000,420.0,355.0,520.0,1118.0,3692.0,2019-05-11 04:19:05.000000,5.5.0,,12122384.0,19.0,101522.0,101522.0,215.0,https://pypi.org/project/nbconvert,12058943.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3869922.0,1.0,,,,,,,,,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-05-13 11:43:10.000000,2021-05-13 11:43:07.000000,252.0,158.0,146.0,394.0,2217.0,2021-05-13 11:34:35.000000,5.5.5,,11042421.0,27.0,112658.0,112658.0,127.0,https://pypi.org/project/ipykernel,11040003.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,159629.0,1.0,,,,,,,,,,2.0,,,,,,,
7,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-05-13 11:20:28.000000,2021-05-13 11:20:25.000000,3639.0,653.0,5890.0,15094.0,,,,,1513766.0,40.0,33981.0,33981.0,558.0,https://pypi.org/project/bokeh,1423870.0,https://anaconda.org/conda-forge/bokeh,2021-05-11 13:20:48.298000,4404915.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
8,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-05-02 20:14:23.482000,2021-05-02 17:57:23.000000,150.0,92.0,185.0,260.0,1764.0,,,,7513336.0,27.0,76111.0,76111.0,108.0,https://pypi.org/project/qtconsole,7483101.0,https://anaconda.org/conda-forge/qtconsole,2021-05-02 20:14:23.482000,1814146.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
9,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-05-12 01:17:17.354000,2021-05-10 22:05:09.000000,1079.0,66.0,394.0,7274.0,852.0,2021-05-11 22:20:56.000000,3.0.0,,375497.0,30.0,4004.0,4004.0,75.0,https://pypi.org/project/pandas-profiling,373311.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,124644.0,1.0,,,,,,,MIT,,,1.0,,,,,,,
