,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-06-24 07:42:48.000000,2021-06-23 14:54:55.000000,4018.0,1442.0,5239.0,14849.0,25084.0,2021-01-30 02:36:56.000000,7.18.1,317351.0,17443699.0,53.0,204241.0,204241.0,812.0,https://pypi.org/project/ipython,17330084.0,https://anaconda.org/conda-forge/ipython,2021-06-03 00:28:37.297000,6834823.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-06-23 16:31:15.912233,2021-06-03 21:35:06.000000,3335.0,1988.0,2253.0,9177.0,12058.0,2021-05-17 11:17:25.000000,6.4.0,362.0,10744950.0,22.0,108481.0,108481.0,555.0,https://pypi.org/project/notebook,10439551.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1431197.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-06-23 16:31:15.912233,843.0,20600869.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-06-24 13:56:09.000000,2021-06-24 12:30:15.000000,1940.0,1819.0,3989.0,11183.0,23374.0,2021-05-18 18:46:17.000000,3.0.16,,1143472.0,214.0,42805.0,42805.0,423.0,https://pypi.org/project/jupyterlab,1076695.0,https://anaconda.org/conda-forge/jupyterlab,2021-06-02 12:55:59.967000,4006640.0,1.0,,,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-06-22 20:20:31.000000,2021-06-18 08:19:49.000000,725.0,521.0,1121.0,2252.0,7034.0,2021-02-07 22:09:48.000000,7.6.3,,9516212.0,29.0,1849.0,1849.0,174.0,https://pypi.org/project/ipywidgets,9341000.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3271123.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,122452.0,,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-06-21 17:19:24.000000,2021-06-13 19:28:18.000000,1104.0,69.0,398.0,7513.0,852.0,2021-05-11 22:20:56.000000,3.0.0,,464323.0,30.0,4474.0,4474.0,78.0,https://pypi.org/project/pandas-profiling,461960.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,137091.0,1.0,,,,,,,MIT,,,2.0,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-06-22 15:18:55.000000,2021-06-22 15:18:42.000000,254.0,160.0,152.0,398.0,2251.0,2021-05-13 11:34:35.000000,5.5.5,,9718617.0,27.0,118910.0,118910.0,129.0,https://pypi.org/project/ipykernel,9715997.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,175555.0,1.0,,,,,,,,,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-06-09 08:33:44.000000,2021-05-31 15:56:43.000000,155.0,92.0,187.0,263.0,1767.0,,,,6625710.0,27.0,79133.0,79133.0,108.0,https://pypi.org/project/qtconsole,6594903.0,https://anaconda.org/conda-forge/qtconsole,2021-05-02 20:14:23.482000,1879243.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
8,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-06-24 10:23:08.000000,2021-06-24 10:23:05.000000,3666.0,671.0,5930.0,15237.0,,,,,1934227.0,40.0,35638.0,35638.0,561.0,https://pypi.org/project/bokeh,1839818.0,https://anaconda.org/conda-forge/bokeh,2021-05-11 13:20:48.298000,4720498.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-06-15 19:38:35.904000,2021-06-14 20:33:00.000000,284.0,68.0,377.0,4625.0,2181.0,2021-06-10 05:10:06.000000,1.11.3,,229840.0,100.0,1630.0,1630.0,62.0,https://pypi.org/project/jupytext,207135.0,https://anaconda.org/conda-forge/jupytext,2021-06-15 19:38:35.904000,192111.0,1.0,,,,,,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,16508.0,,,,,,,,
