,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,npm_id,license,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-06-30 09:04:59.000000,2021-06-03 21:35:06.000000,3339.0,1989.0,2253.0,9184.0,12058.0,2021-05-17 11:17:25.000000,6.4.0,378.0,10727670.0,22.0,109398.0,109398.0,555.0,https://pypi.org/project/notebook,10422973.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1441549.0,https://hub.docker.com/r/jupyter/datascience-notebook,2021-06-29 13:00:17.828276,845.0,20849731.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-06-30 15:20:50.000000,2021-06-28 11:57:12.000000,4021.0,1440.0,5246.0,14859.0,25090.0,2021-01-30 02:36:56.000000,7.18.1,317372.0,17690277.0,54.0,205723.0,205723.0,814.0,https://pypi.org/project/ipython,17577001.0,https://anaconda.org/conda-forge/ipython,2021-06-30 12:42:25.468000,6926010.0,,,,,1.0,-1.0,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-07-01 12:47:22.000000,2021-06-30 20:27:10.000000,1947.0,1819.0,4008.0,11191.0,23392.0,2021-05-18 18:46:17.000000,3.0.16,,1176169.0,214.0,43369.0,43369.0,426.0,https://pypi.org/project/jupyterlab,1109851.0,https://anaconda.org/conda-forge/jupyterlab,2021-06-02 12:55:59.967000,4045399.0,,,,,1.0,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-07-01 04:45:43.000000,2021-06-30 11:27:45.000000,730.0,521.0,1123.0,2256.0,7074.0,2021-02-07 22:09:48.000000,7.6.3,,9584615.0,29.0,1894.0,1894.0,175.0,https://pypi.org/project/ipywidgets,9408363.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3304305.0,,,,,1.0,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,123803.0,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,32,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-06-28 17:17:47.000000,2021-06-27 20:16:39.000000,1106.0,69.0,400.0,7544.0,852.0,2021-05-11 22:20:56.000000,3.0.0,,469728.0,30.0,4526.0,4526.0,79.0,https://pypi.org/project/pandas-profiling,467371.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,139101.0,,,,,1.0,,,MIT,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipykernel,ipython/ipykernel,ipykernel,,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-07-01 04:29:56.000000,2021-06-30 22:26:27.000000,254.0,163.0,155.0,401.0,2260.0,2021-06-30 10:32:19.000000,6.0.0,,9942127.0,27.0,119987.0,119987.0,129.0,https://pypi.org/project/ipykernel,9939514.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,177719.0,,,,,1.0,,,,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-07-01 12:54:54.000000,2021-06-29 17:23:45.000000,156.0,90.0,189.0,265.0,1773.0,,,,6527293.0,28.0,79579.0,79579.0,109.0,https://pypi.org/project/qtconsole,6496787.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,1891403.0,,,,,1.0,,,BSD-3-Clause,,,,,,,,,
8,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-07-01 12:15:22.000000,2021-06-30 21:59:20.000000,3667.0,668.0,5940.0,15255.0,,,,,2012974.0,40.0,35898.0,35898.0,562.0,https://pypi.org/project/bokeh,1919213.0,https://anaconda.org/conda-forge/bokeh,2021-05-11 13:20:48.298000,4781851.0,,,,,1.0,,,BSD-3-Clause,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,jupytext,mwouts/jupytext,conda-forge/jupytext,,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-06-29 07:20:07.000000,2021-06-14 20:33:00.000000,286.0,70.0,377.0,4660.0,2181.0,2021-06-10 05:10:06.000000,1.11.3,,248361.0,100.0,1660.0,1660.0,62.0,https://pypi.org/project/jupytext,225703.0,https://anaconda.org/conda-forge/jupytext,2021-06-15 19:38:35.904000,194006.0,,,,,1.0,,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,16596.0,,,,,,,
10,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-07-01 11:20:59.000000,2021-07-01 11:20:59.000000,183.0,325.0,922.0,1243.0,1475.0,2021-04-15 09:58:42.000000,0.11.3,,161283.0,30.0,1663.0,1663.0,70.0,https://pypi.org/project/panel,153773.0,https://anaconda.org/conda-forge/panel,2021-04-15 10:16:04.506000,247847.0,,,,,2.0,,,BSD-3-Clause,,,,,,,,,
11,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,30,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-06-30 19:54:52.000000,2021-06-22 23:50:37.000000,425.0,367.0,529.0,1144.0,,2019-05-11 04:19:05.000000,5.5.0,,11096816.0,20.0,107780.0,107780.0,223.0,https://pypi.org/project/nbconvert,11030834.0,https://anaconda.org/conda-forge/nbconvert,2021-06-23 20:03:15.806000,4156909.0,,,,,1.0,,,,,,,,,,,,
12,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,nikola,getnikola/nikola,,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-06-13 15:11:26.000000,2021-06-13 15:10:24.000000,329.0,31.0,2026.0,2143.0,10222.0,2021-02-13 17:21:54.000000,8.1.3,,2324.0,73.0,374.0,374.0,220.0,https://pypi.org/project/nikola,2324.0,,,,,,,,1.0,,,MIT,,,,,,,,,
