,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-08-02 14:45:08.000000,2021-08-02 14:45:08.000000,3361.0,1987.0,2269.0,9263.0,12062.0,2021-05-17 11:17:25.000000,6.4.0,488.0,11897812.0,22.0,113603.0,113603.0,557.0,https://pypi.org/project/notebook,11583852.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1493649.0,https://hub.docker.com/r/jupyter/datascience-notebook,2021-07-26 19:27:13.094518,854.0,21796446.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-08-05 06:32:43.000000,2021-08-01 13:54:26.000000,4031.0,1451.0,5253.0,14905.0,25137.0,2021-01-30 02:36:56.000000,7.18.1,317523.0,19164609.0,55.0,212706.0,212706.0,821.0,https://pypi.org/project/ipython,19047009.0,https://anaconda.org/conda-forge/ipython,2021-08-02 14:26:16.046000,7314814.0,,,,,1.0,-1.0,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-08-05 12:56:07.000000,2021-08-05 12:26:19.000000,1970.0,1831.0,4096.0,11255.0,23540.0,2021-08-04 15:09:11.000000,3.1.2,178.0,1127851.0,221.0,45717.0,45717.0,434.0,https://pypi.org/project/jupyterlab,1059424.0,https://anaconda.org/conda-forge/jupyterlab,2021-08-04 15:30:27.959000,4242291.0,,,,,1.0,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,32,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-08-02 17:40:25.000000,2021-06-27 20:16:39.000000,1118.0,80.0,401.0,7716.0,852.0,2021-05-11 22:20:56.000000,3.0.0,,512481.0,30.0,4834.0,4834.0,79.0,https://pypi.org/project/pandas-profiling,509957.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,151472.0,,,,,1.0,,MIT,,,,,,,,,,
5,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-08-03 22:08:17.000000,2021-08-03 16:59:16.000000,741.0,522.0,1131.0,2285.0,7143.0,2021-02-07 22:09:48.000000,7.6.3,,10968465.0,29.0,2094.0,2094.0,179.0,https://pypi.org/project/ipywidgets,10811162.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3457406.0,,,,,1.0,,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,103282.0,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipykernel,ipython/ipykernel,ipykernel,,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-07-23 10:05:34.000000,2021-07-23 10:05:34.000000,257.0,171.0,157.0,412.0,2300.0,2021-07-19 17:13:53.000000,6.0.3,,15083447.0,27.0,125039.0,125039.0,132.0,https://pypi.org/project/ipykernel,15080706.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,189154.0,,,,,1.0,,,,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-08-05 07:18:10.000000,2021-08-04 17:21:29.000000,156.0,91.0,190.0,268.0,1781.0,,,,6465897.0,28.0,81741.0,81741.0,110.0,https://pypi.org/project/qtconsole,6434914.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,1951949.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
8,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-08-05 10:32:15.000000,2021-08-05 05:52:52.000000,3681.0,673.0,5966.0,15363.0,,,,,1721756.0,41.0,37236.0,37236.0,564.0,https://pypi.org/project/bokeh,1624846.0,https://anaconda.org/conda-forge/bokeh,2021-07-08 16:05:38.712000,5039354.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,jupytext,mwouts/jupytext,conda-forge/jupytext,,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-08-04 02:23:35.000000,2021-07-31 08:19:15.000000,290.0,74.0,383.0,4747.0,2192.0,2021-07-14 22:58:52.000000,1.11.4,,304322.0,100.0,1760.0,1760.0,63.0,https://pypi.org/project/jupytext,283072.0,https://anaconda.org/conda-forge/jupytext,2021-07-15 06:44:26.445000,203498.0,,,,,1.0,,MIT,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,15084.0,,,,,,,
