,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-10-12 16:35:05.000000,2021-10-12 16:23:50.000000,4072.0,1465.0,5280.0,15020.0,25254.0,2021-01-30 02:36:56.000000,7.18.1,317743.0,25648884.0,57.0,225639.0,225639.0,832.0,https://pypi.org/project/ipython,25522066.0,https://anaconda.org/conda-forge/ipython,2021-09-27 19:49:36.449000,8156067.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-10-12 16:10:47.000000,2021-10-11 22:44:52.000000,3458.0,2002.0,2298.0,9444.0,12099.0,2021-09-03 20:26:56.000000,6.4.4,1455.0,18276064.0,25.0,121181.0,121181.0,561.0,https://pypi.org/project/notebook,17939804.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1596685.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-10-11 05:53:38.879760,871.0,24041470.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-10-12 20:32:45.000000,2021-10-12 20:32:44.000000,2052.0,1882.0,4212.0,11497.0,23775.0,2021-10-07 14:31:59.000000,3.1.18,7544.0,1275151.0,238.0,49563.0,49563.0,450.0,https://pypi.org/project/jupyterlab,1202265.0,https://anaconda.org/conda-forge/jupyterlab,2021-10-07 20:39:19.064000,4656153.0,1.0,,,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-10-07 20:11:55.000000,2021-10-07 20:11:55.000000,268.0,184.0,167.0,425.0,2382.0,2021-10-06 14:59:34.000000,5.5.6,55.0,22183853.0,29.0,134151.0,134151.0,137.0,https://pypi.org/project/ipykernel,22180864.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,211507.0,1.0,,,,,,,,,,,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-09-28 17:27:12.000000,2021-08-04 17:21:29.000000,158.0,94.0,193.0,278.0,1781.0,,,,12415681.0,28.0,85711.0,85711.0,110.0,https://pypi.org/project/qtconsole,12383906.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,2065385.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
6,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-10-12 10:43:40.000000,2021-10-07 16:38:00.000000,3724.0,672.0,6052.0,15604.0,,,,,1888898.0,42.0,39696.0,39696.0,573.0,https://pypi.org/project/bokeh,1785003.0,https://anaconda.org/conda-forge/bokeh,2021-09-22 22:32:37.483000,5610348.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-10-12 18:15:20.000000,2021-10-12 18:14:17.000000,752.0,536.0,1145.0,2325.0,7228.0,2021-02-07 22:09:48.000000,7.6.3,,186712.0,31.0,2416.0,2416.0,183.0,https://pypi.org/project/ipywidgets,,https://anaconda.org/conda-forge/ipywidgets,2021-09-14 03:37:57.823000,3798681.0,1.0,,,,,,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,129157.0,,,,,,,,
8,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,29,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-10-12 13:46:41.000000,2021-10-08 12:33:22.000000,1155.0,87.0,425.0,8088.0,911.0,2021-09-27 23:08:38.000000,3.1.0,,2733.0,31.0,5424.0,5424.0,81.0,https://pypi.org/project/pandas-profiling,,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,169463.0,1.0,,,,,,MIT,,,,,,,,,,,
9,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-10-13 06:47:12.000000,2021-10-12 17:07:00.000000,198.0,406.0,1025.0,1416.0,1652.0,2021-09-27 12:41:19.000000,0.12.4,,8657.0,35.0,2109.0,2109.0,74.0,https://pypi.org/project/panel,,https://anaconda.org/conda-forge/panel,2021-09-27 15:45:09.868000,311675.0,2.0,,,,,,BSD-3-Clause,,,,,,,,,,,
10,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-10-01 13:03:30.000000,2021-09-13 07:27:34.000000,292.0,167.0,273.0,1182.0,952.0,2021-07-21 12:23:32.000000,0.14.0,,94847.0,60.0,1165.0,1165.0,69.0,https://pypi.org/project/ipyleaflet,52648.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,756791.0,1.0,,,,,,MIT,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,30557.0,,,,,,,,
11,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-10-12 14:23:01.000000,2021-10-12 14:22:59.000000,163.0,101.0,109.0,1159.0,370.0,2021-09-22 08:57:45.000000,0.8.0,,120570.0,16.0,1905.0,1905.0,25.0,https://pypi.org/project/ipympl,65892.0,,,,1.0,,,,,,BSD-3-Clause,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,54678.0,,,,,,,,
12,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,28,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-10-11 22:23:29.000000,2021-10-11 20:38:56.000000,330.0,33.0,2034.0,2192.0,10228.0,2021-02-13 17:21:54.000000,8.1.3,,2237.0,73.0,384.0,384.0,222.0,https://pypi.org/project/nikola,2237.0,,,,1.0,,,,,,MIT,,,,,,,,,,,
13,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,28,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-10-07 13:51:17.000000,2021-10-06 05:43:57.000000,441.0,378.0,546.0,1196.0,,2019-05-11 04:19:05.000000,5.5.0,,74367.0,24.0,119231.0,119231.0,231.0,https://pypi.org/project/nbconvert,,https://anaconda.org/conda-forge/nbconvert,2021-09-25 02:58:13.009000,4908277.0,1.0,,,,,,,,,,,,,,,,,
14,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,28,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-10-01 17:15:30.000000,2021-09-27 03:51:55.000000,36.0,22.0,48.0,77.0,209.0,2021-08-16 09:10:16.000000,0.5.4,,18032770.0,12.0,30227.0,30227.0,25.0,https://pypi.org/project/nbclient,17933399.0,https://anaconda.org/conda-forge/nbclient,2021-08-16 13:35:11.226000,1987435.0,1.0,,,,,,,,,,3.0,,,,,,,
15,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-10-04 14:17:56.000000,2021-09-30 16:21:54.000000,419.0,193.0,351.0,3156.0,3422.0,2021-10-01 09:14:45.000000,0.12.31,,90393.0,54.0,28.0,28.0,55.0,https://pypi.org/project/bqplot,62330.0,https://anaconda.org/conda-forge/bqplot,2021-10-01 09:49:41.042000,814616.0,2.0,,,,,,Apache-2.0,bqplot,https://www.npmjs.com/package/bqplot,15531.0,,,,,,,,
16,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,27,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-09-16 11:44:43.000000,2021-06-10 23:11:53.000000,114.0,42.0,64.0,150.0,752.0,2021-04-02 04:40:43.000000,5.1.3,,93745.0,13.0,124706.0,124706.0,58.0,https://pypi.org/project/nbformat,,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,6187188.0,1.0,,,,,,,,,,,,,,,,,
17,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,26,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-10-10 13:24:35.000000,2021-10-07 17:21:19.000000,300.0,74.0,396.0,4881.0,,2021-10-07 17:22:12.000000,1.13.1,,21320.0,100.0,1975.0,1975.0,66.0,https://pypi.org/project/jupytext,,https://anaconda.org/conda-forge/jupytext,2021-09-26 15:16:15.512000,227116.0,1.0,,,,,,MIT,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,14831.0,-4.0,,,,,,,
18,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/maartenbreddels/ipyvolume,,widgets,26,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-09-28 15:19:14.000000,2021-09-28 15:19:07.000000,204.0,159.0,123.0,1678.0,951.0,2018-06-11 13:56:17.000000,0.4.5,,37550.0,16.0,588.0,588.0,39.0,https://pypi.org/project/ipyvolume,28754.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451000,320228.0,2.0,,,,,,MIT,ipyvolume,https://www.npmjs.com/package/ipyvolume,3078.0,,,,,,,,
19,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,26,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2021-10-12 13:12:55.000000,2021-10-12 13:12:55.000000,193.0,80.0,412.0,971.0,1722.0,2021-10-08 07:32:28.000000,0.33.0,,132918.0,34.0,13.0,13.0,66.0,https://pypi.org/project/jupyterlab-git,130027.0,https://anaconda.org/conda-forge/jupyterlab-git,2021-10-08 12:17:06.192000,98316.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
20,DataLab,True,Interactive tools and developer experiences for Big Data on..,https://github.com/googledatalab/datalab,,notebook-environments,26,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2021-08-16 19:04:35.000000,2021-08-16 17:52:48.000000,242.0,223.0,667.0,961.0,2054.0,2021-08-16 19:04:35.000000,1.2.20210816,,10291390.0,19.0,,,51.0,https://pypi.org/project/datalab,10291390.0,,,,2.0,,,,,,Apache-2.0,,,,3.0,,,,,,,
21,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,26,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-10-05 21:49:52.000000,2021-10-05 21:49:52.000000,209.0,121.0,162.0,244.0,2096.0,2021-10-05 13:25:24.000000,7.0.6,75.0,18885007.0,8.0,,,107.0,https://pypi.org/project/jupyter-client,18884970.0,,,,1.0,,,,,,BSD-3-Clause,,,,3.0,,,,,,,
22,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-10-11 22:13:23.000000,2021-10-11 22:13:22.000000,1560.0,169.0,1836.0,6704.0,,,,,184381.0,21.0,1512.0,1512.0,258.0,https://pypi.org/project/jupyterhub,150599.0,https://anaconda.org/conda-forge/jupyterhub,2021-07-16 22:12:11.207000,453202.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-07-16 12:10:32.711466,296.0,2359322.0,,,,,,,,,,,,
23,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2021-10-11 20:58:06.000000,2021-10-11 20:58:06.000000,2389.0,64.0,617.0,6556.0,2290.0,,,,915180.0,,,,207.0,,,,,,2.0,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2021-10-11 05:30:37.821752,318.0,68638572.0,BSD-3-Clause,,,,,,,,,,,
