,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,updated_github_id,go_id,trending,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-11-03 19:43:08.000000,2021-11-02 05:19:22.000000,4091.0,1469.0,5289.0,15041.0,25375.0,2021-01-30 02:36:56.000000,7.18.1,317846.0,28512423.0,58.0,230544.0,230544.0,839.0,https://pypi.org/project/ipython,28382455.0,https://anaconda.org/conda-forge/ipython,2021-11-02 16:12:17.066000,8492828.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-11-03 22:01:55.000000,2021-10-28 17:56:09.000000,3482.0,2000.0,2307.0,9504.0,12105.0,2021-10-19 16:33:01.000000,6.4.5,2187.0,19994065.0,26.0,124157.0,124157.0,563.0,https://pypi.org/project/notebook,19652483.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1634633.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-11-01 06:28:34.691369,878.0,24755623.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-11-04 12:30:15.000000,2021-11-04 09:14:51.000000,2070.0,1892.0,4254.0,11578.0,23818.0,2021-10-20 14:42:25.000000,3.2.1,8800.0,3184422.0,240.0,51021.0,51021.0,456.0,https://pypi.org/project/jupyterlab,3110223.0,https://anaconda.org/conda-forge/jupyterlab,2021-10-20 15:04:19.843000,4812965.0,1.0,,,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,33,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-11-02 20:19:46.000000,2021-11-01 16:41:27.000000,271.0,186.0,168.0,426.0,2402.0,2021-11-01 16:42:43.000000,6.5.0,83.0,25633732.0,29.0,137727.0,137727.0,140.0,https://pypi.org/project/ipykernel,25630662.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,220160.0,1.0,,,,,,,,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-11-04 05:43:13.000000,2021-11-04 05:43:02.000000,3734.0,680.0,6066.0,15674.0,,,,,2029452.0,43.0,40481.0,40481.0,578.0,https://pypi.org/project/bokeh,1922723.0,https://anaconda.org/conda-forge/bokeh,2021-10-16 13:46:04.385000,5870103.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
6,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-11-04 10:03:39.000000,2021-11-03 21:42:06.000000,1169.0,89.0,431.0,8172.0,922.0,2021-09-27 23:08:38.000000,3.1.0,,2776.0,31.0,5658.0,5658.0,82.0,https://pypi.org/project/pandas-profiling,,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,174889.0,1.0,,,,,,MIT,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-11-04 09:21:18.685000,2021-11-03 16:44:02.000000,752.0,535.0,1152.0,2349.0,7247.0,2021-02-07 22:09:48.000000,7.6.3,,253574.0,32.0,2552.0,2552.0,183.0,https://pypi.org/project/ipywidgets,,https://anaconda.org/conda-forge/ipywidgets,2021-11-04 09:21:18.685000,3950417.0,1.0,,,,,,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,194613.0,,,,,,,,
8,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,30,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-10-28 16:57:56.000000,2021-10-28 16:57:56.000000,443.0,383.0,550.0,1208.0,,2019-05-11 04:19:05.000000,5.5.0,,20615160.0,24.0,122162.0,122162.0,232.0,https://pypi.org/project/nbconvert,20539094.0,https://anaconda.org/conda-forge/nbconvert,2021-09-25 02:58:13.009000,5096430.0,1.0,,,,,,,,,,,,,,,,,
9,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-11-04 13:41:59.000000,2021-11-04 13:41:58.000000,205.0,428.0,1042.0,1456.0,1685.0,2021-09-27 12:41:19.000000,0.12.4,,8871.0,35.0,2229.0,2229.0,79.0,https://pypi.org/project/panel,,https://anaconda.org/conda-forge/panel,2021-09-27 15:45:09.868000,328254.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
10,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-10-01 13:03:30.000000,2021-09-13 07:27:34.000000,294.0,172.0,274.0,1188.0,952.0,2021-07-21 12:23:32.000000,0.14.0,,106168.0,60.0,1224.0,1224.0,69.0,https://pypi.org/project/ipyleaflet,59318.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,765914.0,1.0,,,,,,MIT,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,35246.0,,,,,,,,
11,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-11-01 17:11:14.000000,2021-10-26 14:40:33.000000,164.0,92.0,121.0,1175.0,391.0,2021-10-25 07:46:42.000000,0.8.2,,147565.0,18.0,2017.0,2017.0,25.0,https://pypi.org/project/ipympl,84079.0,,,,1.0,,,,,,BSD-3-Clause,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,63486.0,,,,,,,,
12,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,29,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-09-28 17:27:12.000000,2021-08-04 17:21:29.000000,160.0,95.0,193.0,281.0,1781.0,,,,31920.0,28.0,87149.0,87149.0,110.0,https://pypi.org/project/qtconsole,,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,2106764.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
