,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-11-10 20:48:14.000000,2021-11-08 04:33:09.000000,4096.0,1475.0,5291.0,15053.0,25391.0,2021-01-30 02:36:56.000000,7.18.1,317879.0,27020881.0,58.0,232122.0,232122.0,840.0,https://pypi.org/project/ipython,26889170.0,https://anaconda.org/conda-forge/ipython,2021-11-02 16:12:17.066000,8609599.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-11-10 22:02:01.599512,2021-10-28 17:56:09.000000,3484.0,2003.0,2310.0,9521.0,12105.0,2021-10-19 16:33:01.000000,6.4.5,2416.0,17968676.0,26.0,125098.0,125098.0,563.0,https://pypi.org/project/notebook,17625168.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1646486.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-11-10 22:02:01.599512,878.0,24891448.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,36,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-11-11 11:41:48.000000,2021-11-11 10:56:25.000000,2076.0,1893.0,4270.0,11591.0,23835.0,2021-11-11 07:03:15.000000,3.2.3,10102.0,4716811.0,242.0,51420.0,51420.0,456.0,https://pypi.org/project/jupyterlab,4641798.0,https://anaconda.org/conda-forge/jupyterlab,2021-11-11 08:08:07.754000,4864371.0,1.0,,,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-11-11 09:24:11.000000,2021-11-03 16:44:02.000000,754.0,536.0,1153.0,2356.0,7247.0,2021-02-07 22:09:48.000000,7.6.3,,16921843.0,32.0,2589.0,2589.0,183.0,https://pypi.org/project/ipywidgets,16660274.0,https://anaconda.org/conda-forge/ipywidgets,2021-11-04 09:21:18.685000,4007618.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,201754.0,,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-11-09 16:31:17.000000,2021-11-08 17:22:16.000000,160.0,95.0,193.0,282.0,1796.0,,,,12101459.0,29.0,87623.0,87623.0,111.0,https://pypi.org/project/qtconsole,12069325.0,https://anaconda.org/conda-forge/qtconsole,2021-11-09 04:21:19.332000,2120870.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
6,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-11-11 05:24:48.000000,2021-11-10 21:26:28.000000,3735.0,680.0,6069.0,15697.0,,,,,2088336.0,43.0,40779.0,40779.0,580.0,https://pypi.org/project/bokeh,1980162.0,https://anaconda.org/conda-forge/bokeh,2021-10-16 13:46:04.385000,5949597.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
7,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-11-10 19:40:34.000000,2021-11-09 17:52:44.000000,1170.0,89.0,432.0,8198.0,922.0,2021-09-27 23:08:38.000000,3.1.0,,2796.0,31.0,5726.0,5726.0,82.0,https://pypi.org/project/pandas-profiling,,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,176155.0,1.0,,,,,,,MIT,,,,,,,,,,
8,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-11-11 12:23:16.000000,2021-11-10 16:33:25.000000,205.0,418.0,1059.0,1468.0,1701.0,2021-09-27 12:41:19.000000,0.12.4,,342448.0,35.0,2274.0,2274.0,79.0,https://pypi.org/project/panel,333453.0,https://anaconda.org/conda-forge/panel,2021-09-27 15:45:09.868000,332820.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,
9,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-11-08 22:17:44.000000,2021-09-13 07:27:34.000000,293.0,173.0,274.0,1188.0,952.0,2021-07-21 12:23:32.000000,0.14.0,,107888.0,60.0,1237.0,1237.0,69.0,https://pypi.org/project/ipyleaflet,58176.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,768919.0,1.0,,,,,,jupyter-leaflet,MIT,https://www.npmjs.com/package/jupyter-leaflet,38062.0,,,,,,,,
