,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-11-23 18:41:43.000000,2021-11-18 21:50:27.000000,3496.0,2007.0,2311.0,9558.0,12116.0,2021-11-16 23:13:34.000000,6.4.6,2872.0,14907576.0,27.0,126996.0,126996.0,567.0,https://pypi.org/project/notebook,14560303.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1670379.0,https://hub.docker.com/r/jupyter/datascience-notebook,2021-11-16 20:12:38.899579,879.0,25155697.0,1.0,,,,,,,,,,,,
2,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,36,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-11-25 13:25:21.000000,2021-11-25 09:10:36.000000,2092.0,1893.0,4303.0,11613.0,23871.0,2021-11-17 17:09:13.000000,3.2.4,15229.0,6676981.0,243.0,52335.0,52335.0,458.0,https://pypi.org/project/jupyterlab,6600804.0,https://anaconda.org/conda-forge/jupyterlab,2021-11-17 17:27:51.317000,4934204.0,,,,,1.0,,,,,,,,,,,,
3,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-11-25 00:52:25.000000,2021-11-25 00:52:13.000000,4100.0,1479.0,5300.0,15073.0,25512.0,2021-01-30 02:36:56.000000,7.18.1,317967.0,134824.0,58.0,235195.0,235195.0,844.0,https://pypi.org/project/ipython,,https://anaconda.org/conda-forge/ipython,2021-11-13 01:08:09.086000,8818086.0,,,,,1.0,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,34,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-11-23 21:12:35.000000,2021-11-22 17:52:45.000000,1176.0,93.0,432.0,8261.0,922.0,2021-09-27 23:08:38.000000,3.1.0,,4401209.0,31.0,5862.0,5862.0,82.0,https://pypi.org/project/pandas-profiling,4398380.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,178229.0,,,,,1.0,MIT,5.0,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipykernel,ipython/ipykernel,ipykernel,,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-11-23 19:55:09.000000,2021-11-23 19:55:09.000000,274.0,186.0,174.0,433.0,2417.0,2021-11-18 22:43:16.000000,6.5.1,101.0,22384302.0,29.0,141154.0,141154.0,144.0,https://pypi.org/project/ipykernel,22381137.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,226778.0,,,,,1.0,,,,,,,,,,,,
6,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-11-25 10:29:41.000000,2021-11-25 10:29:38.000000,3752.0,684.0,6080.0,15744.0,,,,,2136356.0,44.0,41186.0,41186.0,581.0,https://pypi.org/project/bokeh,2025701.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6086047.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-11-24 15:13:41.000000,2021-11-23 18:43:26.000000,757.0,536.0,1155.0,2363.0,7261.0,2021-02-07 22:09:48.000000,7.6.3,,219086.0,32.0,2682.0,2682.0,185.0,https://pypi.org/project/ipywidgets,,https://anaconda.org/conda-forge/ipywidgets,2021-11-04 09:21:18.685000,4102266.0,,,,,1.0,BSD-3-Clause,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,157859.0,,,,,,,
8,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,30,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-11-23 21:34:49.000000,2021-11-23 21:17:54.000000,448.0,384.0,555.0,1217.0,,2019-05-11 04:19:05.000000,5.5.0,,15482495.0,25.0,125003.0,125003.0,234.0,https://pypi.org/project/nbconvert,15403876.0,https://anaconda.org/conda-forge/nbconvert,2021-11-14 13:52:58.823000,5267505.0,,,,,1.0,,,,,,,,,,,,
9,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-11-24 14:32:24.000000,2021-11-23 18:30:08.000000,207.0,428.0,1070.0,1478.0,1727.0,2021-11-23 17:55:24.000000,0.12.5,,9199.0,36.0,2348.0,2348.0,79.0,https://pypi.org/project/panel,,https://anaconda.org/conda-forge/panel,2021-09-27 15:45:09.868000,340382.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
