,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,license,npm_url,npm_monthly_downloads,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-12-29 14:45:26.337000,2021-12-28 12:35:17.000000,4105.0,1477.0,5321.0,15120.0,25730.0,2021-01-30 02:36:56.000000,7.18.1,318122.0,18592380.0,61.0,242255.0,242255.0,853.0,https://pypi.org/project/ipython,18454696.0,https://anaconda.org/conda-forge/ipython,2021-12-29 14:45:26.337000,9146263.0,1.0,,,,,,,,,,,,,,,,,
2,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-12-30 13:14:40.000000,2021-12-29 13:29:17.000000,2122.0,1939.0,4355.0,11694.0,23950.0,2021-12-10 15:33:13.000000,3.2.5,20719.0,1299666.0,244.0,54061.0,54061.0,461.0,https://pypi.org/project/jupyterlab,1223437.0,https://anaconda.org/conda-forge/jupyterlab,2021-12-10 15:42:37.558000,5007597.0,1.0,,,,,,,,,,,,,,,,,
3,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,35,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-12-27 12:02:14.000000,2021-12-24 17:19:42.000000,3528.0,2013.0,2318.0,9610.0,12119.0,2021-11-16 23:13:34.000000,6.4.6,3702.0,349643.0,27.0,131273.0,131273.0,570.0,https://pypi.org/project/notebook,,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1712156.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-12-27 10:49:51.425322,889.0,25645044.0,-2.0,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-12-23 21:54:46.131000,2021-12-23 20:43:04.000000,763.0,544.0,1159.0,2388.0,7306.0,2021-02-07 22:09:48.000000,7.6.3,,12758097.0,33.0,2902.0,2902.0,186.0,https://pypi.org/project/ipywidgets,12580349.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131000,4209116.0,1.0,,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,115850.0,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-12-13 22:01:55.422000,2021-12-13 17:57:07.000000,161.0,97.0,195.0,291.0,1816.0,,,,7989867.0,31.0,90533.0,90533.0,112.0,https://pypi.org/project/qtconsole,7957137.0,https://anaconda.org/conda-forge/qtconsole,2021-12-13 22:01:55.422000,2192918.0,1.0,,,,,,,,BSD-3-Clause,,,,,,,,,
6,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-12-29 22:54:17.000000,2021-12-29 18:50:25.000000,3778.0,688.0,6104.0,15838.0,,,,,2089784.0,44.0,42479.0,42479.0,590.0,https://pypi.org/project/bokeh,1977903.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6265372.0,1.0,,,,,,,,BSD-3-Clause,,,,,,,,,
7,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-12-29 08:19:57.000000,2021-12-23 17:54:10.000000,1193.0,95.0,434.0,8356.0,922.0,2021-09-27 23:08:38.000000,3.1.0,,2841.0,31.0,6230.0,6230.0,83.0,https://pypi.org/project/pandas-profiling,,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,181878.0,1.0,,,,,,,,MIT,,,,,,,,,
8,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-12-30 09:14:50.000000,2021-12-29 08:33:09.000000,211.0,464.0,1088.0,1511.0,1770.0,2021-12-09 16:47:15.000000,0.12.6,,325832.0,37.0,2515.0,2515.0,80.0,https://pypi.org/project/panel,316568.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193000,352049.0,2.0,,,,,,,,BSD-3-Clause,,,,,,,,,
9,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,30,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-12-28 16:43:05.000000,2021-12-28 15:46:12.000000,452.0,388.0,559.0,1236.0,,2019-05-11 04:19:05.000000,5.5.0,,14299081.0,25.0,129214.0,129214.0,237.0,https://pypi.org/project/nbconvert,14219381.0,https://anaconda.org/conda-forge/nbconvert,2021-11-14 13:52:58.823000,5419646.0,1.0,,,,,,,,,,,,,,,,,
10,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-12-28 10:55:22.000000,2021-12-28 10:55:20.000000,334.0,34.0,2037.0,2227.0,10245.0,2021-12-27 18:23:21.000000,8.2.0,,1482.0,74.0,398.0,398.0,223.0,https://pypi.org/project/nikola,1482.0,,,,1.0,,,,,,,,MIT,,,,,,,,,
11,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-12-22 09:30:54.000000,2021-12-22 09:30:53.000000,297.0,172.0,285.0,1203.0,986.0,2021-12-06 12:32:04.000000,0.15.0,,107106.0,61.0,1339.0,1339.0,73.0,https://pypi.org/project/ipyleaflet,52558.0,https://anaconda.org/conda-forge/ipyleaflet,2021-12-09 18:45:12.043000,782944.0,1.0,,,,,,,jupyter-leaflet,MIT,https://www.npmjs.com/package/jupyter-leaflet,42863.0,,,,,,,
12,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-12-17 10:19:38.000000,2021-12-17 10:19:38.000000,167.0,95.0,130.0,1200.0,418.0,2021-12-15 15:38:28.000000,0.8.4,,114315.0,20.0,2301.0,2301.0,25.0,https://pypi.org/project/ipympl,64552.0,,,,1.0,,,,,,,jupyter-matplotlib,BSD-3-Clause,https://www.npmjs.com/package/jupyter-matplotlib,49763.0,,,,,,,
13,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,29,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-12-29 18:59:57.000000,2021-12-29 18:59:57.000000,276.0,189.0,179.0,443.0,,2021-12-01 13:26:22.000000,6.6.0,124.0,13465694.0,29.0,146277.0,146277.0,147.0,https://pypi.org/project/ipykernel,13462469.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,234238.0,1.0,,,,,,,,,,,,,,,,,
14,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,29,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-12-17 21:19:43.000000,2021-12-17 08:10:00.000000,118.0,45.0,64.0,157.0,756.0,2021-04-02 04:40:43.000000,5.1.3,,14299090.0,13.0,134923.0,134923.0,60.0,https://pypi.org/project/nbformat,14198662.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,6829169.0,1.0,,,,,,,,,,,,,,,,,
15,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,28,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-12-29 19:39:14.000000,2021-12-29 06:54:21.000000,39.0,20.0,53.0,83.0,248.0,2021-11-19 09:12:41.000000,0.5.9,10.0,13628772.0,15.0,38616.0,38616.0,28.0,https://pypi.org/project/nbclient,13515348.0,https://anaconda.org/conda-forge/nbclient,2021-11-19 13:08:45.492000,2495289.0,1.0,,,,,,,,,,,,,,,,,
