,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2022-01-03 19:17:49.000000,2022-01-03 16:34:57.000000,3534.0,2015.0,2319.0,9624.0,12123.0,2021-11-16 23:13:34.000000,6.4.6,3864.0,13034471.0,27.0,132019.0,132019.0,571.0,https://pypi.org/project/notebook,12687751.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1718994.0,https://hub.docker.com/r/jupyter/datascience-notebook,2022-01-03 06:50:12.259683,892.0,25758701.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2022-01-05 21:43:21.000000,2022-01-05 09:49:20.000000,4111.0,1480.0,5323.0,15126.0,25741.0,2021-01-30 02:36:56.000000,7.18.1,318144.0,17674417.0,63.0,243455.0,243455.0,853.0,https://pypi.org/project/ipython,17538102.0,https://anaconda.org/conda-forge/ipython,2022-01-05 20:27:41.853000,9188467.0,,,,,1.0,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,33,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2022-01-04 02:35:02.000000,2022-01-01 10:43:58.000000,1195.0,95.0,434.0,8374.0,922.0,2021-09-27 23:08:38.000000,3.1.0,,1892877.0,31.0,6291.0,6291.0,83.0,https://pypi.org/project/pandas-profiling,1890069.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,182557.0,,,,,1.0,MIT,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2022-01-05 12:39:56.000000,2021-12-23 20:43:04.000000,762.0,544.0,1159.0,2388.0,7306.0,2021-02-07 22:09:48.000000,7.6.3,,12090651.0,33.0,2950.0,2950.0,186.0,https://pypi.org/project/ipywidgets,11926040.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131000,4225973.0,,,,,1.0,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,103366.0,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2022-01-06 13:49:36.000000,2022-01-04 09:19:12.000000,3778.0,687.0,6107.0,15858.0,,,,,1974930.0,44.0,42778.0,42778.0,590.0,https://pypi.org/project/bokeh,1864630.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6287111.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
6,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2022-01-05 03:34:09.827000,2022-01-03 20:33:30.000000,455.0,389.0,559.0,1237.0,,2022-01-03 20:34:13.000000,6.4.0,,13626755.0,26.0,129946.0,129946.0,237.0,https://pypi.org/project/nbconvert,13547846.0,https://anaconda.org/conda-forge/nbconvert,2022-01-05 03:34:09.827000,5444748.0,,,,,1.0,,,,,,,,,,,,
7,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2022-01-06 11:42:05.000000,2022-01-06 11:42:04.000000,211.0,467.0,1092.0,1520.0,1780.0,2021-12-09 16:47:15.000000,0.12.6,,292922.0,37.0,2536.0,2536.0,82.0,https://pypi.org/project/panel,283848.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193000,353894.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,nikola,getnikola/nikola,,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-12-31 18:56:31.000000,2021-12-31 18:56:26.000000,335.0,34.0,2038.0,2229.0,10247.0,2021-12-27 18:23:21.000000,8.2.0,,1677.0,74.0,399.0,399.0,223.0,https://pypi.org/project/nikola,1677.0,,,,,,,,1.0,MIT,,,,,,,,,,,
9,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,ipympl,matplotlib/ipympl,,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2022-01-05 15:58:10.000000,2022-01-05 15:58:10.000000,169.0,94.0,131.0,1202.0,423.0,2022-01-04 10:17:36.000000,0.8.5,,104276.0,21.0,2324.0,2324.0,25.0,https://pypi.org/project/ipympl,58459.0,,,,,,,,1.0,BSD-3-Clause,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,45817.0,,,,,,,,
