,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2022-01-19 16:25:53.000000,2022-01-12 16:37:34.000000,3553.0,2019.0,2321.0,9652.0,12128.0,2022-01-12 16:39:03.000000,6.4.7,4213.0,15221966.0,28.0,133794.0,133794.0,572.0,https://pypi.org/project/notebook,14872227.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1738611.0,https://hub.docker.com/r/jupyter/datascience-notebook,2022-01-18 22:35:11.289795,894.0,25976258.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2022-01-20 01:10:17.723000,2022-01-19 13:21:24.000000,4133.0,1489.0,5337.0,15192.0,25807.0,2021-01-30 02:36:56.000000,7.18.1,318241.0,21654269.0,67.0,246314.0,246314.0,867.0,https://pypi.org/project/ipython,21515707.0,https://anaconda.org/conda-forge/ipython,2022-01-20 01:10:17.723000,9343480.0,,,,,1.0,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2022-01-19 00:30:36.000000,2022-01-19 00:30:36.000000,766.0,546.0,1163.0,2399.0,7316.0,2021-02-07 22:09:48.000000,7.6.3,,14198266.0,33.0,3043.0,3043.0,188.0,https://pypi.org/project/ipywidgets,14043703.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131000,4270577.0,,,,,1.0,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,92671.0,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2022-01-08 18:46:46.000000,2022-01-08 18:46:46.000000,162.0,99.0,195.0,295.0,1818.0,,,,10132305.0,31.0,91767.0,91767.0,112.0,https://pypi.org/project/qtconsole,10099637.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413000,2221447.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2022-01-20 13:21:46.000000,2022-01-19 16:56:56.000000,3782.0,681.0,6121.0,15920.0,,,,,2013753.0,44.0,43488.0,43488.0,593.0,https://pypi.org/project/bokeh,1902137.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6362151.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
6,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2022-01-18 08:16:19.000000,2022-01-17 13:27:10.000000,457.0,392.0,560.0,1247.0,,2022-01-03 20:34:13.000000,6.4.0,,15872458.0,26.0,131664.0,131664.0,237.0,https://pypi.org/project/nbconvert,15792570.0,https://anaconda.org/conda-forge/nbconvert,2022-01-05 03:34:09.827000,5512285.0,,,,,1.0,,,,,,,,,,,,
7,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2022-01-20 12:44:21.000000,2022-01-08 10:44:22.000000,1194.0,97.0,436.0,8410.0,922.0,2021-09-27 23:08:38.000000,3.1.0,,2828.0,31.0,6430.0,6430.0,83.0,https://pypi.org/project/pandas-profiling,,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,183841.0,,,,,1.0,,MIT,,,,,,,,,,
8,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2022-01-20 12:54:56.000000,2022-01-20 12:54:39.000000,220.0,488.0,1101.0,1596.0,1815.0,2021-12-09 16:47:15.000000,0.12.6,,286761.0,37.0,2599.0,2599.0,85.0,https://pypi.org/project/panel,277558.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193000,358935.0,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
9,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,nikola,getnikola/nikola,,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2022-01-09 12:06:53.000000,2022-01-09 12:06:52.000000,335.0,34.0,2038.0,2239.0,10249.0,2021-12-27 18:23:21.000000,8.2.0,,1969.0,74.0,400.0,400.0,223.0,https://pypi.org/project/nikola,1969.0,,,,,,,,1.0,,MIT,,,,,,,,,,
