,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,pypi_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,35,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-02-03 00:32:03.866674,2022-01-25 19:27:14,3563.0,2019.0,2325.0,9684.0,12132.0,2022-01-25 19:28:28,6.4.8,4568.0,347950.0,29.0,135509.0,135509.0,573.0,https://pypi.org/project/notebook,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1761212.0,https://hub.docker.com/r/jupyter/datascience-notebook,2022-02-03 00:32:03.866674,898.0,26158438.0,1.0,,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-02-01 20:02:41.000000,2022-02-01 20:02:15,4145.0,1492.0,5353.0,15207.0,25822.0,2021-01-30 02:36:56,7.18.1,318314.0,139496.0,67.0,249259.0,249259.0,867.0,https://pypi.org/project/ipython,https://anaconda.org/conda-forge/ipython,2022-01-20 01:10:17.723,9546361.0,,,,,1.0,,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,34,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-02-03 14:08:20.000000,2022-02-03 08:28:46,2151.0,1970.0,4407.0,11781.0,24078.0,2022-01-13 18:47:11,3.2.8,29708.0,75201.0,249.0,55798.0,55798.0,465.0,https://pypi.org/project/jupyterlab,https://anaconda.org/conda-forge/jupyterlab,2022-01-26 17:42:40.449,5080033.0,,,,,1.0,,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,30,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-02-01 22:28:06.000000,2022-02-01 22:28:03,3781.0,683.0,6130.0,15933.0,,,,,111155.0,44.0,44380.0,44380.0,596.0,https://pypi.org/project/bokeh,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6447019.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,30,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000,2022-01-31 15:53:26.000000,2022-01-26 14:54:26,1197.0,101.0,437.0,8459.0,922.0,2021-09-27 23:08:38,3.1.0,,2807.0,31.0,6554.0,6554.0,85.0,https://pypi.org/project/pandas-profiling,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,185307.0,,,,,1.0,MIT,,,,,,,,,,,,
6,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-02-03 06:36:17.000000,2022-02-01 18:21:16,769.0,553.0,1165.0,2413.0,7336.0,2021-02-07 22:09:48,7.6.3,,167497.0,33.0,3129.0,3129.0,188.0,https://pypi.org/project/ipywidgets,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131,4325376.0,,,,,1.0,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,105706.0,,,,,,,,,
7,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-02-03 13:52:46.000000,2022-02-03 13:39:54,223.0,476.0,1137.0,1612.0,1850.0,2021-12-09 16:47:15,0.12.6,,9099.0,37.0,2664.0,2664.0,86.0,https://pypi.org/project/panel,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193,363987.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,,
8,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,29,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-02-03 10:46:49.000000,2022-01-28 12:42:38,460.0,391.0,566.0,1257.0,,2022-01-03 20:34:13,6.4.0,,79926.0,27.0,133295.0,133295.0,237.0,https://pypi.org/project/nbconvert,https://anaconda.org/conda-forge/nbconvert,2022-01-26 23:13:31.149,5594850.0,,,,,1.0,,,,,,,,,,,,,
9,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,29,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-02-03 08:36:49.000000,2022-01-08 18:46:46,161.0,99.0,195.0,297.0,1818.0,,,,32545.0,31.0,92604.0,92604.0,112.0,https://pypi.org/project/qtconsole,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413,2245630.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,,
