,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-02-16 20:09:48.000000,2022-01-25 19:27:14,3575.0,2002.0,2343.0,9715.0,12132.0,2022-01-25 19:28:28,6.4.8,4931.0,9645459.0,29.0,137571.0,137571.0,573.0,https://pypi.org/project/notebook,9293952.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1786095.0,https://hub.docker.com/r/jupyter/datascience-notebook,2022-02-15 18:18:32.429975,898.0,26416170.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-02-16 21:07:25.000000,2022-02-10 10:20:25,4149.0,1501.0,5356.0,15234.0,25843.0,2021-01-30 02:36:56,7.18.1,318371.0,16552330.0,67.0,252812.0,252812.0,868.0,https://pypi.org/project/ipython,16409410.0,https://anaconda.org/conda-forge/ipython,2022-02-16 17:09:39.734,9785972.0,,,,,1.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-02-17 12:52:57.000000,2022-02-17 11:05:31,2163.0,1989.0,4424.0,11802.0,24108.0,2022-02-04 09:10:07,3.2.9,30120.0,1665504.0,252.0,56664.0,56664.0,466.0,https://pypi.org/project/jupyterlab,1589771.0,https://anaconda.org/conda-forge/jupyterlab,2022-02-10 15:32:03.942,5115722.0,,,,,1.0,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/pandas-profiling/pandas-profiling,,widgets,33,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000,2022-02-16 14:11:13.000000,2022-01-26 14:54:26,1207.0,108.0,438.0,8517.0,922.0,2021-09-27 23:08:38,3.1.0,,899308.0,31.0,6700.0,6700.0,85.0,https://pypi.org/project/pandas-profiling,896479.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,186776.0,,,,,1.0,MIT,,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-02-17 11:04:13.000000,2022-02-17 10:01:38,3787.0,692.0,6135.0,15962.0,,,,,3501667.0,44.0,45301.0,45301.0,598.0,https://pypi.org/project/bokeh,3389026.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6533187.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
6,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-02-15 09:20:40.000000,2022-02-09 00:41:40,775.0,554.0,1170.0,2425.0,7350.0,2021-02-07 22:09:48,7.6.3,,8297614.0,33.0,3239.0,3239.0,191.0,https://pypi.org/project/ipywidgets,8127662.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131,4384362.0,,,,,1.0,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,107319.0,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-02-13 19:21:03.000000,2022-02-13 19:21:03,161.0,98.0,196.0,298.0,1825.0,,,,3719244.0,31.0,93712.0,93712.0,113.0,https://pypi.org/project/qtconsole,3686317.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413,2272016.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
8,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-02-11 15:26:58.565000,2022-02-09 23:03:55,464.0,389.0,568.0,1265.0,,2022-01-03 20:34:13,6.4.0,,10322867.0,28.0,135317.0,135317.0,237.0,https://pypi.org/project/nbconvert,10241582.0,https://anaconda.org/conda-forge/nbconvert,2022-02-11 15:26:58.565,5690011.0,,,,,1.0,,,,,,,,,,,,
9,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-02-16 17:23:08.000000,2022-02-15 17:42:22,223.0,474.0,1151.0,1619.0,1870.0,2021-12-09 16:47:15,0.12.6,,425831.0,37.0,2742.0,2742.0,86.0,https://pypi.org/project/panel,416583.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193,369941.0,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
