,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,notebook,jupyter/notebook,conda-forge/jupyter,jupyter/datascience-notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-02-22 17:20:08.000000,2022-01-25 19:27:14,3585.0,2001.0,2345.0,9738.0,12132.0,2022-01-25 19:28:28,6.4.8,5146.0,9339017.0,29.0,138664.0,138664.0,573.0,https://pypi.org/project/notebook,8985548.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1800139.0,https://hub.docker.com/r/jupyter/datascience-notebook,2022-02-22 16:45:52.853454,901.0,26557898.0,1.0,,,,,,,,,,,,
2,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-02-21 20:38:40.000000,2022-02-10 10:20:25,4151.0,1504.0,5357.0,15250.0,25843.0,2021-01-30 02:36:56,7.18.1,318408.0,15740804.0,67.0,254677.0,254677.0,868.0,https://pypi.org/project/ipython,15596015.0,https://anaconda.org/conda-forge/ipython,2022-02-17 15:17:38.728,9916768.0,,,,,1.0,,,,,,,,,,,,
3,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-02-24 14:05:38.000000,2022-02-24 14:05:37,2172.0,1996.0,4436.0,11820.0,24132.0,2022-02-04 09:10:07,3.2.9,33580.0,1730099.0,253.0,57116.0,57116.0,467.0,https://pypi.org/project/jupyterlab,1654010.0,https://anaconda.org/conda-forge/jupyterlab,2022-02-18 22:51:34.175,5136061.0,,,,,1.0,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-02-22 14:12:01.000000,2022-02-22 14:09:47,1213.0,109.0,438.0,8547.0,924.0,2021-09-27 23:08:38,3.1.0,,904362.0,31.0,6766.0,6766.0,85.0,https://pypi.org/project/pandas-profiling,901519.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,187662.0,,,,,1.0,ydataai/pandas-profiling,MIT,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh,bokeh/bokeh,conda-forge/bokeh,,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-02-23 22:18:45.000000,2022-02-21 17:29:53,3787.0,691.0,6142.0,15987.0,,,,,3874263.0,44.0,45683.0,45683.0,599.0,https://pypi.org/project/bokeh,3760723.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6585356.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
6,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-02-23 20:57:32.000000,2022-02-22 20:57:40,776.0,550.0,1175.0,2429.0,7367.0,2021-02-07 22:09:48,7.6.3,,7992547.0,33.0,3283.0,3283.0,193.0,https://pypi.org/project/ipywidgets,7822838.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131,4417644.0,,,,,1.0,,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,106600.0,,,,,,,
7,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-02-23 13:56:45.000000,2022-02-09 23:03:55,462.0,390.0,568.0,1266.0,,2022-01-03 20:34:13,6.4.0,,10059152.0,28.0,136377.0,136377.0,237.0,https://pypi.org/project/nbconvert,9977102.0,https://anaconda.org/conda-forge/nbconvert,2022-02-11 15:26:58.565,5743510.0,,,,,1.0,,,,,,,,,,,,
8,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-02-23 19:25:52.000000,2022-02-13 19:21:03,161.0,98.0,198.0,299.0,1825.0,,,,3238947.0,31.0,94303.0,94303.0,113.0,https://pypi.org/project/qtconsole,3205815.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413,2286168.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
9,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,panel,holoviz/panel,conda-forge/panel,,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-02-22 12:56:54.000000,2022-02-21 17:55:26,224.0,476.0,1152.0,1622.0,1876.0,2021-12-09 16:47:15,0.12.6,,418938.0,37.0,2781.0,2781.0,87.0,https://pypi.org/project/panel,409577.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193,374465.0,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
