,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,license,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-04-07 13:46:34.000000,2022-04-07 12:18:48,4162.0,1451.0,5452.0,15308.0,25940.0,2021-01-30 02:36:56,7.18.1,318593.0,18030618.0,70.0,266543.0,266543.0,880.0,https://pypi.org/project/ipython,17880116.0,https://anaconda.org/conda-forge/ipython,2022-03-27 20:57:10.655,10615632.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-04-05 00:26:12.000000,2022-04-01 18:52:57,3805.0,675.0,6184.0,16148.0,,,,,4971627.0,44.0,49416.0,49416.0,600.0,https://pypi.org/project/bokeh,4857176.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6867100.0,1.0,BSD-3-Clause,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-04-06 14:37:34.000000,2022-04-06 14:37:28,1258.0,117.0,443.0,8762.0,924.0,2021-09-27 23:08:38,3.1.0,,1061687.0,31.0,7294.0,7294.0,86.0,https://pypi.org/project/pandas-profiling,1058850.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,192983.0,1.0,MIT,ydataai/pandas-profiling,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-04-07 09:18:03.000000,2022-03-11 23:17:39,785.0,557.0,1189.0,2463.0,7392.0,2021-02-07 22:09:48,7.6.3,,8245949.0,35.0,3622.0,3622.0,193.0,https://pypi.org/project/ipywidgets,8061738.0,https://anaconda.org/conda-forge/ipywidgets,2022-04-05 23:43:26.701,4632230.0,1.0,BSD-3-Clause,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,119875.0,,,,,,,,,,,,
5,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-04-07 12:57:37.000000,2022-04-07 12:57:20,234.0,441.0,1227.0,1708.0,1971.0,2022-03-27 10:57:30,0.12.7,,475748.0,38.0,3033.0,3033.0,91.0,https://pypi.org/project/panel,466207.0,https://anaconda.org/conda-forge/panel,2022-03-30 09:25:20.761,400737.0,1.0,BSD-3-Clause,,,,,,,,,,,,,,,,
6,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-04-04 20:42:59.000000,2022-04-02 12:52:54,470.0,394.0,574.0,1291.0,,2022-03-11 17:04:00,6.4.3,,10662215.0,31.0,143047.0,143047.0,240.0,https://pypi.org/project/nbconvert,10577613.0,https://anaconda.org/conda-forge/nbconvert,2022-04-01 14:13:38.080,6091376.0,1.0,,,,,,,,,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-04-04 07:10:18.000000,2022-03-28 17:15:49,164.0,97.0,201.0,304.0,1860.0,,,,3185482.0,32.0,97816.0,97816.0,114.0,https://pypi.org/project/qtconsole,3152031.0,https://anaconda.org/conda-forge/qtconsole,2022-03-28 22:08:50.018,2375080.0,1.0,BSD-3-Clause,,,,,,,,,,,,,,,,
8,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-04-07 09:31:12.000000,2022-04-05 13:56:53,290.0,202.0,193.0,467.0,,2022-04-04 13:17:37,6.12.1,353.0,11076259.0,30.0,163255.0,163255.0,153.0,https://pypi.org/project/ipykernel,11072833.0,https://anaconda.org/anaconda/ipykernel,2022-03-12 09:13:36.250,261347.0,1.0,,,,,,,,,,,,,,,,,
9,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-03-31 00:15:19.000000,2022-03-08 17:38:50,341.0,40.0,2043.0,2280.0,10257.0,2021-12-27 18:23:21,8.2.0,,2491.0,74.0,416.0,416.0,224.0,https://pypi.org/project/nikola,2491.0,,,,1.0,MIT,,,,,,,,,,,,,,,,
10,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000,2022-04-06 19:58:10.000000,2022-04-06 19:58:10,307.0,179.0,295.0,1239.0,1043.0,2021-12-06 12:32:04,0.15.0,,128113.0,61.0,1600.0,1600.0,76.0,https://pypi.org/project/ipyleaflet,70982.0,https://anaconda.org/conda-forge/ipyleaflet,2021-12-09 18:45:12.043,802680.0,1.0,MIT,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,45826.0,,,,,,,,,,,,
