,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-05-25 20:23:51.000000,2022-05-25 20:23:51,4169.0,1472.0,5464.0,15363.0,25963.0,2021-01-30 02:36:56,7.18.1,318833.0,20639341.0,72.0,277464.0,277464.0,883.0,https://pypi.org/project/ipython,20477602.0,https://anaconda.org/conda-forge/ipython,2022-04-29 14:22:58.344,11585372.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-05-24 17:41:49.000000,2022-05-24 17:41:47,1289.0,107.0,463.0,8998.0,1002.0,2022-05-02 02:53:44,3.2.0,,1101930.0,32.0,7916.0,7916.0,88.0,https://pypi.org/project/pandas-profiling,1098948.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,205800.0,1.0,ydataai/pandas-profiling,MIT,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-05-25 16:19:29.000000,2022-05-20 05:30:56,803.0,573.0,1198.0,2496.0,7418.0,2021-02-07 22:09:48,7.6.3,,9439721.0,35.0,4014.0,4014.0,195.0,https://pypi.org/project/ipywidgets,9265231.0,https://anaconda.org/conda-forge/ipywidgets,2022-04-05 23:43:26.701,4987906.0,1.0,,BSD-3-Clause,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,106163.0,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-05-22 08:31:37.000000,2022-05-19 15:45:06,3842.0,687.0,6203.0,16319.0,,,,,2666994.0,45.0,51508.0,51508.0,604.0,https://pypi.org/project/bokeh,2546858.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7328356.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
5,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-05-26 12:24:22.000000,2022-05-26 12:24:21,253.0,489.0,1285.0,1919.0,2113.0,2022-05-24 10:14:55,0.13.1,,461556.0,40.0,3325.0,3325.0,95.0,https://pypi.org/project/panel,450968.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,455324.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-05-06 03:16:24.000000,2022-05-06 03:16:24,167.0,97.0,208.0,310.0,1873.0,,,,2861485.0,32.0,100838.0,100838.0,115.0,https://pypi.org/project/qtconsole,2826584.0,https://anaconda.org/conda-forge/qtconsole,2022-03-28 22:08:50.018,2512919.0,1.0,,BSD-3-Clause,,,,,,,,,,,,,,,
7,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-05-18 08:08:52.000000,2022-05-14 08:40:23,343.0,42.0,2053.0,2295.0,10275.0,2022-05-01 17:07:03,8.2.2,,1903.0,76.0,428.0,428.0,229.0,https://pypi.org/project/nikola,1903.0,,,,1.0,,MIT,,,,,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000,2022-05-25 15:22:28.000000,2022-05-24 11:28:05,308.0,178.0,301.0,1260.0,1070.0,2022-04-14 10:12:55,0.16.0,,134712.0,62.0,1774.0,1774.0,78.0,https://pypi.org/project/ipyleaflet,72382.0,https://anaconda.org/conda-forge/ipyleaflet,2022-05-16 15:27:39.486,822832.0,1.0,,MIT,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,50902.0,,,,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000,2022-04-20 04:15:39.000000,2022-04-04 20:36:11,340.0,68.0,444.0,5386.0,,2022-04-04 20:59:48,1.13.8,,236305.0,100.0,2858.0,2858.0,70.0,https://pypi.org/project/jupytext,219524.0,https://anaconda.org/conda-forge/jupytext,2022-04-06 06:06:21.811,310669.0,1.0,,MIT,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,9385.0,,,,,,,,,,,,
