,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,38,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-06-30 11:27:50.000000,2022-06-27 09:20:00,4181.0,1450.0,5496.0,15415.0,25989.0,2021-01-30 02:36:56,7.18.1,318982.0,19734857.0,73.0,288341.0,288341.0,889.0,https://pypi.org/project/ipython,19564293.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,12568790.0,1.0,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-07-07 10:33:48.000000,2022-06-03 15:43:48,1306.0,111.0,465.0,9194.0,1002.0,2022-05-02 02:53:44,3.2.0,,1289259.0,32.0,8366.0,8366.0,88.0,https://pypi.org/project/pandas-profiling,1286144.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,221185.0,1.0,ydataai/pandas-profiling,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-07-07 13:04:34.000000,2022-07-06 21:38:53,818.0,567.0,1217.0,2522.0,7462.0,2021-02-07 22:09:48,7.6.3,,8029674.0,36.0,4368.0,4368.0,197.0,https://pypi.org/project/ipywidgets,7839586.0,https://anaconda.org/conda-forge/ipywidgets,2022-06-23 08:47:23.441,5335068.0,1.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,118954.0,,,,,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-06-27 01:14:14.000000,2022-06-19 17:26:07,167.0,96.0,216.0,317.0,1887.0,,,,4868397.0,33.0,104237.0,104237.0,116.0,https://pypi.org/project/qtconsole,4832391.0,https://anaconda.org/conda-forge/qtconsole,2022-06-05 21:52:17.510,2664496.0,1.0,,,,,,,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-07-07 06:37:19.000000,2022-07-06 14:03:27,3863.0,690.0,6237.0,16454.0,,,,,2952361.0,45.0,53453.0,53453.0,607.0,https://pypi.org/project/bokeh,2829278.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7754281.0,1.0,,,,,,,,,,,,,,,,
6,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,30,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2022-06-27 21:58:41.000000,2022-06-27 21:58:41,339.0,76.0,315.0,3289.0,1459.0,2022-06-17 20:18:03,1.2.10,,68541.0,28.0,1042.0,1042.0,70.0,https://pypi.org/project/nbdev,68541.0,,,,1.0,,,,,6.0,,,,,,,,,,,
7,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-07-06 17:30:24.000000,2022-07-05 13:21:07,262.0,549.0,1302.0,1992.0,2150.0,2022-05-24 10:14:55,0.13.1,,430270.0,40.0,3631.0,3631.0,96.0,https://pypi.org/project/panel,418840.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,514364.0,2.0,,,,,,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-07-07 10:08:41.198000,2022-07-07 04:28:18,316.0,180.0,309.0,1271.0,1111.0,2022-04-14 10:12:55,0.16.0,,168288.0,63.0,2032.0,2032.0,79.0,https://pypi.org/project/ipyleaflet,105075.0,https://anaconda.org/conda-forge/ipyleaflet,2022-07-07 10:08:41.198,847182.0,1.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,51765.0,,,,,,,,,,,,
9,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-07-05 16:44:24.000000,2022-06-26 16:12:10,345.0,44.0,2056.0,2306.0,10282.0,2022-05-01 17:07:03,8.2.2,,1448.0,76.0,430.0,430.0,230.0,https://pypi.org/project/nikola,1448.0,,,,1.0,,,,,,,,,,,,,,,,
