,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,38,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-08-08 06:13:21.000000,2022-07-18 15:03:32,4181.0,1458.0,5498.0,15459.0,25990.0,2021-01-30 02:36:56,7.18.1,319135.0,17165261.0,73.0,296444.0,296444.0,891.0,https://pypi.org/project/ipython,16988461.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,13212366.0,1.0,,,,,,,,,,,,,,,,
2,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-08-09 11:14:02.000000,2022-08-05 14:46:10,828.0,568.0,1228.0,2553.0,7549.0,2022-07-27 10:28:11,7.7.1,,7951751.0,36.0,4618.0,4618.0,197.0,https://pypi.org/project/ipywidgets,7802397.0,https://anaconda.org/conda-forge/ipywidgets,2022-06-23 08:47:23.441,5644311.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,75087.0,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-08-03 13:54:35.000000,2022-08-03 13:54:31,1321.0,117.0,465.0,9352.0,1015.0,2022-05-02 02:53:44,3.2.0,,1237729.0,32.0,8701.0,8701.0,89.0,https://pypi.org/project/pandas-profiling,1234140.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,258442.0,1.0,,,,ydataai/pandas-profiling,,,,,,,,,,,,
4,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-08-11 08:39:19.000000,2022-08-06 20:43:09,3872.0,682.0,6269.0,16559.0,,,,,3294036.0,45.0,54526.0,54526.0,610.0,https://pypi.org/project/bokeh,3167547.0,https://anaconda.org/conda-forge/bokeh,2022-08-09 14:12:00.447,8095311.0,1.0,,,,,,,,,,,,,,,,
5,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-08-11 13:58:44.000000,2022-08-11 08:20:54,274.0,571.0,1319.0,2038.0,2182.0,2022-05-24 10:14:55,0.13.1,,439697.0,40.0,3873.0,3873.0,101.0,https://pypi.org/project/panel,427383.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,566446.0,1.0,,,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-08-09 16:17:44.000000,2022-06-19 17:26:07,167.0,96.0,216.0,323.0,1887.0,,,,3143135.0,33.0,106619.0,106619.0,116.0,https://pypi.org/project/qtconsole,3105968.0,https://anaconda.org/conda-forge/qtconsole,2022-06-05 21:52:17.510,2787542.0,1.0,,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-08-11 12:09:16.000000,2022-08-10 17:58:38,320.0,188.0,312.0,1287.0,1122.0,2022-07-25 09:22:27,0.17.0,,164969.0,63.0,2522.0,2522.0,80.0,https://pypi.org/project/ipyleaflet,104353.0,https://anaconda.org/conda-forge/ipyleaflet,2022-07-07 10:08:41.198,865896.0,1.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,49071.0,,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-08-02 17:57:54.000000,2022-08-02 17:57:54,347.0,44.0,2059.0,2316.0,10290.0,2022-08-01 21:01:18,8.2.3,,1837.0,77.0,436.0,436.0,230.0,https://pypi.org/project/nikola,1837.0,,,,1.0,,,,,,,,,,,,,,,,
9,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2022-07-30 09:17:59.000000,2022-07-29 10:20:53,351.0,68.0,462.0,5501.0,,2022-07-29 10:56:48,1.14.1,,280985.0,100.0,3129.0,3129.0,72.0,https://pypi.org/project/jupytext,266238.0,https://anaconda.org/conda-forge/jupytext,2022-07-03 18:12:05.254,368070.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,6568.0,,,,,,,,,,,,,
