,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,commit_count,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-08-23 18:17:47.000000,2022-08-22 12:25:49,4186.0,1452.0,5510.0,15476.0,2021-01-30 02:36:56,7.18.1,319189.0,17034097.0,73.0,299839.0,299839.0,894.0,https://pypi.org/project/ipython,16853804.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,13477701.0,1.0,,,,,,,,,,,,,,,,,
2,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-08-24 10:00:26.000000,2022-08-23 17:41:55,829.0,569.0,1237.0,2559.0,2022-08-18 10:08:44,8.0.0,,7987556.0,40.0,4714.0,4714.0,197.0,https://pypi.org/project/ipywidgets,7831975.0,https://anaconda.org/conda-forge/ipywidgets,2022-08-19 20:53:09.445,5800278.0,1.0,@jupyter-widgets/jupyterlab-manager,7583.0,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,79262.0,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-08-25 13:23:38.000000,2022-08-24 22:34:05,1335.0,114.0,469.0,9412.0,2022-05-02 02:53:44,3.2.0,,1173084.0,32.0,8826.0,8826.0,92.0,https://pypi.org/project/pandas-profiling,1169315.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,271433.0,1.0,,1015.0,,,ydataai/pandas-profiling,,,,,,,,,,,,
4,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-08-25 14:14:17.000000,2022-08-25 14:13:53,274.0,546.0,1353.0,2063.0,2022-05-24 10:14:55,0.13.1,,420948.0,40.0,3959.0,3959.0,101.0,https://pypi.org/project/panel,408162.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,588192.0,1.0,,2212.0,,,,,,,,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-08-23 07:15:28.466000,2022-08-22 14:39:37,478.0,428.0,591.0,1366.0,2022-08-22 14:34:43,7.0.0,,11812711.0,36.0,162169.0,162169.0,248.0,https://pypi.org/project/nbconvert,11708726.0,https://anaconda.org/conda-forge/nbconvert,2022-08-23 07:15:28.466,7902914.0,1.0,,,,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-08-09 16:17:44.000000,2022-06-19 17:26:07,167.0,96.0,216.0,326.0,,,,3122523.0,33.0,107653.0,107653.0,116.0,https://pypi.org/project/qtconsole,3084709.0,https://anaconda.org/conda-forge/qtconsole,2022-06-05 21:52:17.510,2836057.0,1.0,,1887.0,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-08-23 15:32:17.000000,2022-08-23 09:30:51,320.0,184.0,316.0,1288.0,2022-08-23 09:10:35,0.17.1,,174931.0,64.0,2631.0,2631.0,80.0,https://pypi.org/project/ipyleaflet,113577.0,https://anaconda.org/conda-forge/ipyleaflet,2022-08-23 09:37:45.585,872978.0,1.0,jupyter-leaflet,1129.0,https://www.npmjs.com/package/jupyter-leaflet,49715.0,,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-08-02 17:57:54.000000,2022-08-02 17:57:54,346.0,44.0,2059.0,2321.0,2022-08-01 21:01:18,8.2.3,,1942.0,77.0,436.0,436.0,230.0,https://pypi.org/project/nikola,1942.0,,,,1.0,,10290.0,,,,,,,,,,,,,,,
9,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,28,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-08-24 18:52:45.000000,2022-08-24 17:39:26,3878.0,684.0,6273.0,16625.0,,,,3756752.0,45.0,151.0,151.0,612.0,https://pypi.org/project/bokeh,3627915.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8245578.0,1.0,,,,,,,,,,,,,,,,,
