,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-10-05 15:34:02.000000,2022-10-05 10:35:44,4214.0,1456.0,5519.0,15543.0,2021-01-30 02:36:56,7.18.1,319389.0,17292029.0,74.0,310240.0,310240.0,907.0,https://pypi.org/project/ipython,17104237.0,https://anaconda.org/conda-forge/ipython,2022-09-06 16:42:49.564,14421352.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,34,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-10-06 09:44:44.000000,2022-10-06 08:37:16,1358.0,117.0,482.0,9682.0,2022-09-07 14:31:12,3.3.0,,1156024.0,33.0,9205.0,9205.0,96.0,https://pypi.org/project/pandas-profiling,1152109.0,https://anaconda.org/conda-forge/pandas-profiling,2022-09-13 12:49:40.455,289740.0,1.0,ydataai/pandas-profiling,1121.0,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-10-04 16:42:46.000000,2022-10-04 16:42:46,835.0,576.0,1248.0,2601.0,2022-08-18 10:08:44,8.0.0,,7759690.0,41.0,5004.0,5004.0,198.0,https://pypi.org/project/ipywidgets,7599975.0,https://anaconda.org/conda-forge/ipywidgets,2022-09-06 16:41:24.351,6349642.0,1.0,,7648.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,78310.0,,,,,,,,,,,,
4,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,32,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-10-06 10:54:44.998000,2022-10-05 15:16:30,288.0,577.0,1406.0,2222.0,2022-10-05 15:20:36,0.14.0,,551796.0,41.0,4198.0,4198.0,103.0,https://pypi.org/project/panel,538304.0,https://anaconda.org/conda-forge/panel,2022-10-06 10:54:44.998,647642.0,1.0,,2366.0,,,,,,,,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-10-05 02:12:57.000000,2022-10-03 19:12:12,485.0,441.0,594.0,1385.0,2022-10-03 19:12:37,7.1.0,,11457220.0,37.0,167421.0,167421.0,251.0,https://pypi.org/project/nbconvert,11347615.0,https://anaconda.org/conda-forge/nbconvert,2022-10-03 20:11:36.265,8549249.0,1.0,,,,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-09-02 16:46:31.000000,2022-09-02 16:46:31,170.0,98.0,217.0,332.0,,,,3212329.0,34.0,110931.0,110931.0,116.0,https://pypi.org/project/qtconsole,3173157.0,https://anaconda.org/conda-forge/qtconsole,2022-08-28 14:56:02.482,3016315.0,2.0,,1895.0,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-09-26 08:23:19.000000,2022-09-23 11:46:14,324.0,189.0,320.0,1297.0,2022-08-23 09:10:35,0.17.1,,169396.0,64.0,2898.0,2898.0,80.0,https://pypi.org/project/ipyleaflet,108808.0,https://anaconda.org/conda-forge/ipyleaflet,2022-08-23 09:37:45.585,896067.0,1.0,,1138.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,48951.0,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-09-20 09:05:33.000000,2022-09-03 20:41:19,347.0,45.0,2061.0,2330.0,2022-08-01 21:01:18,8.2.3,,1660.0,77.0,441.0,441.0,231.0,https://pypi.org/project/nikola,1660.0,,,,1.0,,10292.0,,,,,,,,,,,,,,,
9,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,28,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-10-05 19:05:09.000000,2022-10-05 19:05:09,3894.0,666.0,6338.0,16752.0,,,,3425583.0,45.0,155.0,155.0,619.0,https://pypi.org/project/bokeh,3293344.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8727823.0,1.0,,,,,,,,,,,,,,,,,
