,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-10-19 13:46:53.000000,2022-10-19 13:40:29,4219.0,1461.0,5523.0,15555.0,2021-01-30 02:36:56,7.18.1,319448.0,17580392.0,74.0,314293.0,314293.0,909.0,https://pypi.org/project/ipython,17388234.0,https://anaconda.org/conda-forge/ipython,2022-09-06 16:42:49.564,14761867.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,34,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-10-20 14:25:15.000000,2022-10-20 14:24:10,1362.0,121.0,485.0,9732.0,2022-09-07 14:31:12,3.3.0,,1108319.0,33.0,9314.0,9314.0,100.0,https://pypi.org/project/pandas-profiling,1104318.0,https://anaconda.org/conda-forge/pandas-profiling,2022-09-13 12:49:40.455,296139.0,1.0,ydataai/pandas-profiling,1138.0,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-10-20 11:44:20.000000,2022-10-04 16:42:46,835.0,579.0,1251.0,2608.0,2022-08-18 10:08:44,8.0.0,,7889537.0,41.0,5091.0,5091.0,198.0,https://pypi.org/project/ipywidgets,7730099.0,https://anaconda.org/conda-forge/ipywidgets,2022-09-06 16:41:24.351,6591782.0,1.0,,7648.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,74928.0,,,,,,,,,,,,
4,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,32,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-10-20 14:17:28.000000,2022-10-19 12:51:07,291.0,594.0,1431.0,2324.0,2022-10-05 15:20:36,0.14.0,,544336.0,41.0,4303.0,4303.0,104.0,https://pypi.org/project/panel,530352.0,https://anaconda.org/conda-forge/panel,2022-10-06 10:54:44.998,671239.0,1.0,,2398.0,,,,,,,,,,,,,,,
5,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-10-19 20:07:45.437000,2022-10-19 17:20:48,488.0,442.0,595.0,1393.0,2022-10-19 17:21:04,7.2.2,24.0,12700641.0,39.0,169517.0,169517.0,252.0,https://pypi.org/project/nbconvert,12587619.0,https://anaconda.org/conda-forge/nbconvert,2022-10-19 20:07:45.437,8815767.0,1.0,,,,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-09-02 16:46:31.000000,2022-09-02 16:46:31,172.0,99.0,217.0,334.0,,,,3218238.0,34.0,112340.0,112340.0,116.0,https://pypi.org/project/qtconsole,3178246.0,https://anaconda.org/conda-forge/qtconsole,2022-08-28 14:56:02.482,3079446.0,2.0,,1895.0,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-10-19 12:34:41.863000,2022-10-19 07:41:14,324.0,193.0,322.0,1298.0,2022-10-19 07:57:17,0.17.2,,170828.0,65.0,2999.0,2999.0,80.0,https://pypi.org/project/ipyleaflet,109491.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,903631.0,1.0,,1141.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,49602.0,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-09-20 09:05:33.000000,2022-09-03 20:41:19,347.0,45.0,2061.0,2337.0,2022-08-01 21:01:18,8.2.3,,1697.0,77.0,445.0,445.0,231.0,https://pypi.org/project/nikola,1697.0,,,,1.0,,10292.0,,,,,,,,,,,,,,,
9,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,28,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-10-20 10:55:03.000000,2022-10-20 05:23:15,3902.0,662.0,6351.0,16808.0,,,,3340657.0,45.0,163.0,163.0,619.0,https://pypi.org/project/bokeh,3205220.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8938863.0,1.0,,,,,,,,,,,,,,,,,
