,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-11-02 03:34:38.000000,2022-10-30 09:32:00,4219.0,1465.0,5530.0,15568.0,2021-01-30 02:36:56,7.18.1,319552.0,18074668.0,75.0,318213.0,318213.0,920.0,https://pypi.org/project/ipython,17881294.0,https://anaconda.org/conda-forge/ipython,2022-10-30 14:54:55.127,15049239.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,34,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-11-02 11:25:06.000000,2022-10-20 19:10:48,1368.0,124.0,487.0,9780.0,2022-10-20 17:14:03,3.4.0,,1026346.0,34.0,9452.0,9452.0,101.0,https://pypi.org/project/pandas-profiling,1022322.0,https://anaconda.org/conda-forge/pandas-profiling,2022-10-21 13:45:24.192,301851.0,1.0,ydataai/pandas-profiling,1141.0,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-11-01 16:59:18.000000,2022-11-01 16:59:11,840.0,582.0,1255.0,2622.0,2022-08-18 10:08:44,8.0.0,,8128633.0,41.0,5175.0,5175.0,198.0,https://pypi.org/project/ipywidgets,7971156.0,https://anaconda.org/conda-forge/ipywidgets,2022-09-06 16:41:24.351,6761869.0,1.0,,7650.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,71884.0,,,,,,,,,,,,
4,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,32,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-11-03 09:18:18.725000,2022-10-29 10:04:01,298.0,613.0,1440.0,2359.0,2022-11-01 09:58:10,0.14.1,,460650.0,42.0,4378.0,4378.0,106.0,https://pypi.org/project/panel,446491.0,https://anaconda.org/conda-forge/panel,2022-11-03 09:18:18.725,693821.0,1.0,,2417.0,,,,,,,,,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-11-02 15:52:35.711000,2022-11-02 01:13:43,174.0,101.0,217.0,337.0,,,,3399269.0,35.0,113596.0,113596.0,118.0,https://pypi.org/project/qtconsole,3359071.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3135460.0,1.0,,1909.0,,,,,,,,,,,,,,,
6,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-11-03 00:57:19.000000,2022-11-03 00:57:19,491.0,448.0,597.0,1400.0,2022-10-27 19:43:52,7.2.3,48.0,14979962.0,40.0,171445.0,171445.0,252.0,https://pypi.org/project/nbconvert,14865726.0,https://anaconda.org/conda-forge/nbconvert,2022-10-28 01:12:27.435,9024629.0,1.0,,,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-10-27 16:02:32.000000,2022-10-27 16:02:31,323.0,193.0,326.0,1308.0,2022-10-19 07:57:17,0.17.2,,204073.0,65.0,3065.0,3065.0,81.0,https://pypi.org/project/ipyleaflet,138910.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,911704.0,1.0,,1144.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,53475.0,,,,,,,,,,,,
8,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-09-20 09:05:33.000000,2022-09-03 20:41:19,347.0,45.0,2061.0,2342.0,2022-08-01 21:01:18,8.2.3,,1500.0,77.0,446.0,446.0,231.0,https://pypi.org/project/nikola,1500.0,,,,1.0,,10292.0,,,,,,,,,,,,,,,
9,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,28,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-11-03 11:44:08.000000,2022-11-03 11:44:04,3910.0,661.0,6371.0,16853.0,,,,3285555.0,45.0,165.0,165.0,622.0,https://pypi.org/project/bokeh,3150079.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,9076920.0,1.0,,,,,,,,,,,,,,,,,
