,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,34,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-12-07 17:23:59.000000,2022-11-28 13:51:08,4223.0,1478.0,5546.0,15602.0,2021-01-30 02:36:56,7.18.1,319644.0,18552950.0,76.0,330200.0,330200.0,924.0,https://pypi.org/project/ipython,18352756.0,https://anaconda.org/conda-forge/ipython,2022-12-01 15:03:49.150,15787302.0,1.0,,,,,,,,,,,,,,,,,
2,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,34,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-12-08 13:37:00.000000,2022-12-07 14:39:43,1382.0,128.0,496.0,9895.0,2022-11-22 16:02:53,3.5.0,,1043976.0,35.0,9934.0,9934.0,104.0,https://pypi.org/project/pandas-profiling,1039826.0,https://anaconda.org/conda-forge/pandas-profiling,2022-11-23 13:57:11.205,315455.0,1.0,ydataai/pandas-profiling,1165.0,,,,,,,,,,,,,,,
3,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-12-07 16:20:59.990000,2022-12-07 13:03:16,843.0,588.0,1261.0,2651.0,2022-08-18 10:08:44,8.0.0,,7990474.0,42.0,5447.0,5447.0,198.0,https://pypi.org/project/ipywidgets,7833377.0,https://anaconda.org/conda-forge/ipywidgets,2022-12-07 16:20:59.990,7160407.0,1.0,,7672.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,67592.0,,,,,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-11-02 15:52:35.711000,2022-11-02 01:13:43,175.0,100.0,219.0,342.0,,,,3463882.0,35.0,117051.0,117051.0,119.0,https://pypi.org/project/qtconsole,3422357.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3280477.0,1.0,,1909.0,,,,,,,,,,,,,,,
5,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,31,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-12-07 16:09:34.000000,2022-12-06 17:10:28,305.0,635.0,1469.0,2421.0,2022-11-01 09:58:10,0.14.1,,407138.0,42.0,4697.0,4697.0,108.0,https://pypi.org/project/panel,392141.0,https://anaconda.org/conda-forge/panel,2022-11-03 09:18:18.725,749853.0,2.0,,2460.0,,,,,,,,,,,,,,,
6,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-12-07 23:14:58.000000,2022-12-06 12:26:54,492.0,453.0,598.0,1418.0,2022-12-05 11:26:08,7.2.6,121.0,18002742.0,43.0,177750.0,177750.0,254.0,https://pypi.org/project/nbconvert,17884029.0,https://anaconda.org/conda-forge/nbconvert,2022-12-05 15:24:23.831,9496903.0,1.0,,,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-12-07 08:22:00.000000,2022-10-27 16:02:31,324.0,196.0,327.0,1314.0,2022-10-19 07:57:17,0.17.2,,220173.0,65.0,3269.0,3269.0,81.0,https://pypi.org/project/ipyleaflet,153151.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,932921.0,1.0,,1144.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,55213.0,,,,,,,,,,,,
8,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,,2015-04-09 07:44:14.000,2022-12-08 12:30:25.000000,2022-12-08 12:30:22,315.0,218.0,214.0,528.0,2022-12-08 12:30:45,6.19.1,812.0,12034447.0,48.0,208639.0,208639.0,160.0,https://pypi.org/project/ipykernel,12028087.0,https://anaconda.org/anaconda/ipykernel,2022-09-06 16:04:23.662,537096.0,1.0,,,,,,8.0,,,,,,,,,,,
9,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2022-11-20 20:43:36.000000,2022-11-20 20:43:36,349.0,45.0,2062.0,2365.0,2022-08-01 21:01:18,8.2.3,,1321.0,77.0,451.0,451.0,231.0,https://pypi.org/project/nikola,1321.0,,,,1.0,,10293.0,,,,,,,,,,,,,,,
