,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,commit_count,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-02-02 01:10:23.000000,2023-01-30 17:12:25,4230.0,1495.0,5557.0,15677.0,2021-01-30 02:36:56,7.18.1,319803.0,19499017.0,78.0,350721.0,350721.0,930.0,https://pypi.org/project/ipython,19291364.0,https://anaconda.org/conda-forge/ipython,2023-01-28 13:33:08.056,16797551.0,1.0,,,,,,,,,,,,,,,,,
2,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-01-14 12:24:37.000000,2022-11-02 01:13:43,176.0,101.0,219.0,350.0,,,,3631050.0,35.0,122993.0,122993.0,119.0,https://pypi.org/project/qtconsole,3588171.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3473247.0,1.0,1909.0,,,,,,,,,,,,,,,,
3,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2023-01-29 04:12:57.000000,2023-01-29 04:12:57,494.0,461.0,599.0,1439.0,2023-01-24 15:52:43,7.2.9,249.0,21797855.0,46.0,187702.0,187702.0,254.0,https://pypi.org/project/nbconvert,21673318.0,https://anaconda.org/conda-forge/nbconvert,2023-01-24 20:04:10.828,10211674.0,1.0,,,,,,,,,,,,,,,,,
4,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-01-31 17:24:08.000000,2023-01-31 17:24:08,853.0,604.0,1272.0,2691.0,2022-08-18 10:08:44,8.0.0,,8247991.0,43.0,5911.0,5911.0,200.0,https://pypi.org/project/ipywidgets,8091726.0,https://anaconda.org/conda-forge/ipywidgets,2022-12-22 14:44:46.766,7739331.0,1.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,61883.0,-4.0,,,,,,,,,,,,
5,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-01-09 07:51:57.000000,2022-10-27 16:02:31,325.0,207.0,329.0,1324.0,2022-10-19 07:57:17,0.17.2,,216268.0,65.0,3596.0,3596.0,81.0,https://pypi.org/project/ipyleaflet,151227.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,953000.0,1.0,1144.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,53276.0,,,,,,,,,,,,,
6,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,,2015-04-09 07:44:14.000,2023-02-01 15:26:50.000000,2023-01-30 14:36:48,316.0,224.0,220.0,532.0,2023-01-30 14:37:03,6.21.0,1083.0,13215143.0,55.0,222249.0,222249.0,164.0,https://pypi.org/project/ipykernel,13208420.0,https://anaconda.org/anaconda/ipykernel,2023-01-05 12:19:43.600,580474.0,1.0,,,,,8.0,,,,,,,,,,,,
7,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,29,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-02-01 14:37:30.000000,2023-01-30 17:59:36,1401.0,129.0,504.0,10100.0,2023-01-30 16:40:14,4.0.0,,1118527.0,40.0,3.0,3.0,108.0,https://pypi.org/project/pandas-profiling,1114270.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,332083.0,1.0,1252.0,,,,-4.0,ydataai/ydata-profiling,,,,,,,,,,,
8,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-01-17 11:39:11.000000,2023-01-15 21:17:17,360.0,88.0,474.0,5792.0,2022-12-11 17:42:21,1.14.4,,700336.0,100.0,4058.0,4058.0,76.0,https://pypi.org/project/jupytext,683946.0,https://anaconda.org/conda-forge/jupytext,2022-12-11 21:02:09.199,488929.0,1.0,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,6804.0,,,,,,,,,,,,,
9,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,28,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-02-02 08:02:28.000000,2023-02-01 22:09:42,3936.0,689.0,6444.0,17177.0,,,,4010134.0,48.0,188.0,188.0,632.0,https://pypi.org/project/bokeh,3868330.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,9926312.0,1.0,,,,,,,,,,,,,,,,,
