,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,commit_count,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-02-14 16:55:08.000000,2023-02-14 09:45:49,4236.0,1497.0,5566.0,15694.0,2021-01-30 02:36:56,7.18.1,319832.0,20369676.0,79.0,367261.0,367261.0,937.0,https://pypi.org/project/ipython,20158227.0,https://anaconda.org/conda-forge/ipython,2023-02-10 17:16:06.365,17108868.0,1.0,,,,,,,,,,,,,,,,,
2,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-01-14 12:24:37.000000,2022-11-02 01:13:43,176.0,101.0,219.0,352.0,,,,3439321.0,35.0,124229.0,124229.0,119.0,https://pypi.org/project/qtconsole,3395680.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3534927.0,1.0,1909.0,,,,,,,,,,,,,,,,
3,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-02-13 16:59:52.000000,2023-02-07 20:19:06,556.0,512.0,688.0,3221.0,2023-02-07 20:19:46,0.13.2,,79338.0,39.0,8706.0,8706.0,120.0,https://pypi.org/project/jupyter-book,79338.0,,,,1.0,1403.0,7.0,,,,,,,,,,,,,,,
4,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2023-02-11 21:59:55.000000,2023-01-29 04:12:57,494.0,464.0,599.0,1445.0,2023-01-24 15:52:43,7.2.9,267.0,21521181.0,46.0,191224.0,191224.0,254.0,https://pypi.org/project/nbconvert,21393977.0,https://anaconda.org/conda-forge/nbconvert,2023-01-24 20:04:10.828,10430321.0,1.0,,,,,,,,,,,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,30,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-02-16 10:39:56.000000,2023-01-30 17:59:36,1407.0,132.0,505.0,10179.0,2023-01-30 16:40:14,4.0.0,,1149381.0,40.0,35.0,35.0,108.0,https://pypi.org/project/pandas-profiling,1145065.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,336703.0,1.0,1252.0,-3.0,ydataai/ydata-profiling,,,,,,,,,,,,,,
6,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-02-16 10:20:54.000000,2023-02-03 16:41:22,859.0,611.0,1274.0,2708.0,2022-08-18 10:08:44,8.0.0,,8498012.0,44.0,6023.0,6023.0,201.0,https://pypi.org/project/ipywidgets,8333896.0,https://anaconda.org/conda-forge/ipywidgets,2023-02-10 14:31:42.099,7907061.0,1.0,,-4.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,67689.0,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-02-10 13:49:02.000000,2023-02-10 13:49:02,326.0,210.0,330.0,1328.0,2022-10-19 07:57:17,0.17.2,,220649.0,65.0,3731.0,3731.0,82.0,https://pypi.org/project/ipyleaflet,153505.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,959613.0,1.0,1145.0,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,55297.0,,,,,,,,,,,
8,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,,2015-04-09 07:44:14.000,2023-02-15 21:51:03.000000,2023-02-13 15:39:39,317.0,227.0,222.0,536.0,2023-02-13 15:39:56,6.21.2,1141.0,13456773.0,57.0,229280.0,229280.0,164.0,https://pypi.org/project/ipykernel,13449893.0,https://anaconda.org/anaconda/ipykernel,2023-01-05 12:19:43.600,593887.0,1.0,,8.0,,,,,,,,,,,,,,,
9,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,29,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-02-16 13:40:05.000000,2023-02-15 18:44:38,3942.0,685.0,6461.0,17228.0,,,,3730789.0,48.0,193.0,193.0,634.0,https://pypi.org/project/bokeh,3586894.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,10072657.0,1.0,,,,,,,,,,,,,,,,,
