,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-02-22 08:20:16.000000,2023-02-22 08:20:15,4236.0,1496.0,5567.0,15701.0,2021-01-30 02:36:56,7.18.1,319843.0,20053625.0,79.0,369231.0,369231.0,937.0,https://pypi.org/project/ipython,19840375.0,https://anaconda.org/conda-forge/ipython,2023-02-10 17:16:06.365,17256527.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-02-22 16:07:44.000000,2023-02-20 19:44:46,495.0,464.0,600.0,1447.0,2023-01-24 15:52:43,7.2.9,282.0,20544331.0,46.0,192190.0,192190.0,256.0,https://pypi.org/project/nbconvert,20415901.0,https://anaconda.org/conda-forge/nbconvert,2023-01-24 20:04:10.828,10530813.0,1.0,,,,,,,,,,,,,,,,,
3,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-02-20 15:19:28.000000,2023-02-16 22:54:28,318.0,227.0,222.0,535.0,2023-02-13 15:39:56,6.21.2,1160.0,13329905.0,57.0,230690.0,230690.0,165.0,https://pypi.org/project/ipykernel,13322942.0,https://anaconda.org/anaconda/ipykernel,2023-01-05 12:19:43.600,600998.0,1.0,10.0,,,,,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,31,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-02-22 17:54:43.000000,2023-01-30 17:59:36,1411.0,132.0,505.0,10219.0,2023-01-30 16:40:14,4.0.0,,1086087.0,40.0,50.0,50.0,108.0,https://pypi.org/project/pandas-profiling,1081742.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,338983.0,1.0,,ydataai/ydata-profiling,1252.0,,,,,,,,,,,,,,
5,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-02-23 05:02:27.000000,2023-02-19 14:09:17,559.0,515.0,689.0,3238.0,2023-02-07 20:19:46,0.13.2,,89419.0,39.0,8773.0,8773.0,120.0,https://pypi.org/project/jupyter-book,89419.0,,,,1.0,7.0,,1404.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-01-14 12:24:37.000000,2022-11-02 01:13:43,176.0,102.0,219.0,352.0,,,,3237298.0,35.0,124855.0,124855.0,119.0,https://pypi.org/project/qtconsole,3193306.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3563369.0,1.0,,,1909.0,,,,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-02-23 12:46:21.000000,2023-02-03 16:41:22,861.0,612.0,1276.0,2713.0,2022-08-18 10:08:44,8.0.0,,8266804.0,44.0,6084.0,6084.0,201.0,https://pypi.org/project/ipywidgets,8100213.0,https://anaconda.org/conda-forge/ipywidgets,2023-02-10 14:31:42.099,7987071.0,1.0,-4.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,69188.0,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-02-10 13:49:02.000000,2023-02-10 13:49:02,325.0,211.0,330.0,1331.0,2022-10-19 07:57:17,0.17.2,,220594.0,65.0,3760.0,3760.0,82.0,https://pypi.org/project/ipyleaflet,152776.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,963134.0,1.0,,,1145.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,55928.0,,,,,,,,,,,
9,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-02-17 14:18:13.000000,2023-02-17 14:18:13,133.0,55.0,78.0,204.0,2023-01-12 12:35:32,5.7.3,98.0,12898375.0,22.0,198674.0,198674.0,74.0,https://pypi.org/project/nbformat,12735879.0,https://anaconda.org/conda-forge/nbformat,2023-01-12 21:53:38.367,13324448.0,1.0,11.0,,,,,,,,,,,,,,,,
