,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,commit_count,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-03-07 11:09:07.000000,2023-02-28 12:14:03,4239.0,1500.0,5570.0,15725.0,2021-01-30 02:36:56,7.18.1,319883.0,21496569.0,80.0,373394.0,373394.0,938.0,https://pypi.org/project/ipython,21281852.0,https://anaconda.org/conda-forge/ipython,2023-02-28 21:01:39.229,17590698.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-03-07 04:25:54.000000,2023-02-20 19:44:46,495.0,470.0,600.0,1456.0,2023-01-24 15:52:43,7.2.9,294.0,19356510.0,46.0,194200.0,194200.0,256.0,https://pypi.org/project/nbconvert,19226937.0,https://anaconda.org/conda-forge/nbconvert,2023-01-24 20:04:10.828,10754115.0,1.0,,,,,,,,,,,,,,,,,
3,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-03-07 17:10:05.000000,2023-03-07 17:10:00,319.0,228.0,223.0,537.0,2023-03-06 14:13:33,6.21.3,1219.0,14836632.0,58.0,233679.0,233679.0,166.0,https://pypi.org/project/ipykernel,14829550.0,https://anaconda.org/anaconda/ipykernel,2023-01-05 12:19:43.600,618429.0,1.0,10.0,,,,,,,,,,,,,,,,
4,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-03-07 16:39:07.000000,2023-03-07 16:39:07,177.0,101.0,220.0,355.0,,,,3378459.0,35.0,126137.0,126137.0,120.0,https://pypi.org/project/qtconsole,3334193.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3629819.0,1.0,,1918.0,,,,,,,,,,,,,,,
5,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,31,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-03-08 17:17:24.000000,2023-03-08 13:29:58,1422.0,128.0,511.0,10318.0,2023-03-08 13:30:46,4.1.0,,1123514.0,41.0,109.0,109.0,108.0,https://pypi.org/project/pandas-profiling,1119170.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,343185.0,1.0,,1267.0,ydataai/ydata-profiling,,,,,,,,,,,,,,
6,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-03-09 13:36:50.000000,2023-03-08 02:31:18,563.0,519.0,699.0,3267.0,2023-03-08 02:33:55,0.15.0,,99939.0,41.0,8898.0,8898.0,120.0,https://pypi.org/project/jupyter-book,99939.0,,,,1.0,7.0,1412.0,,,,,,,,,,,,,,,
7,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-02 23:14:08.000000,2023-02-10 13:49:02,326.0,212.0,332.0,1335.0,2022-10-19 07:57:17,0.17.2,,238851.0,65.0,3831.0,3831.0,82.0,https://pypi.org/project/ipyleaflet,167424.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,969105.0,1.0,,1145.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,59609.0,,,,,,,,,,,
8,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,30,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-03-03 07:06:14.000000,2023-02-03 16:41:22,865.0,614.0,1277.0,2729.0,2022-08-18 10:08:44,8.0.0,,9164026.0,44.0,6207.0,6207.0,201.0,https://pypi.org/project/ipywidgets,8997550.0,https://anaconda.org/conda-forge/ipywidgets,2023-02-10 14:31:42.099,8172497.0,1.0,-4.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,68013.0,,,,,,,,,,,
9,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-03-07 04:25:57.000000,2023-03-01 11:42:58,134.0,56.0,78.0,205.0,2023-01-12 12:35:32,5.7.3,100.0,13883061.0,22.0,200794.0,200794.0,74.0,https://pypi.org/project/nbformat,13718794.0,https://anaconda.org/conda-forge/nbformat,2023-01-12 21:53:38.367,13633951.0,1.0,11.0,,,,,,,,,,,,,,,,
10,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,29,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-03-09 10:18:37.000000,2023-03-09 10:18:33,3969.0,662.0,6533.0,17307.0,,,,3588064.0,48.0,200.0,200.0,637.0,https://pypi.org/project/bokeh,3442931.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,10304506.0,1.0,,,,,,,,,,,,,,,,,
