,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,35,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-04-26 23:34:47.000000,2023-04-25 12:17:00,4249.0,1527.0,5582.0,15800.0,2021-01-30 02:36:56,7.18.1,320014.0,21284111.0,81.0,390511.0,390511.0,944.0,https://pypi.org/project/ipython,21055214.0,https://anaconda.org/conda-forge/ipython,2023-03-30 14:28:51.782,18995715.0,1.0,,,,,,,,,,,,,,,,,
2,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-04-26 05:31:50.000000,2023-04-25 17:17:43,504.0,479.0,607.0,1483.0,2023-04-10 13:58:26,7.3.1,361.0,16275476.0,49.0,202065.0,202065.0,259.0,https://pypi.org/project/nbconvert,16136996.0,https://anaconda.org/conda-forge/nbconvert,2023-04-10 14:35:54.580,11631804.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-04-22 22:39:38.000000,2023-03-28 07:48:22,1442.0,149.0,512.0,10522.0,2023-03-28 08:01:52,4.1.2,,996370.0,43.0,335.0,335.0,108.0,https://pypi.org/project/pandas-profiling,991880.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,359203.0,1.0,ydataai/ydata-profiling,1275.0,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-04-27 07:59:24.000000,2023-04-14 20:04:39,325.0,227.0,226.0,547.0,2023-03-20 14:41:55,6.22.0,1326.0,14171696.0,59.0,245929.0,245929.0,166.0,https://pypi.org/project/ipykernel,14164154.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,666168.0,1.0,,,10.0,,,,,,,,,,,,,,
5,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-04-06 20:07:25.000000,2023-04-02 21:20:30,182.0,105.0,220.0,363.0,,,,3473305.0,37.0,130901.0,130901.0,120.0,https://pypi.org/project/qtconsole,3426715.0,https://anaconda.org/conda-forge/qtconsole,2023-04-03 17:42:12.643,3867014.0,1.0,,1932.0,,,,,,,,,,,,,,,
6,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-04-24 23:43:30.000000,2023-04-24 17:23:00,570.0,534.0,715.0,3345.0,2023-03-14 01:24:58,0.15.1,,64554.0,42.0,9471.0,9471.0,124.0,https://pypi.org/project/jupyter-book,64554.0,,,,1.0,,1421.0,7.0,,,,,,,,,,,,,,
7,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,31,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-04-19 21:38:21.000000,2023-03-28 15:25:44,876.0,633.0,1286.0,2772.0,2023-03-22 11:45:50,8.0.5,,8701914.0,48.0,6745.0,6745.0,203.0,https://pypi.org/project/ipywidgets,8536935.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,8966496.0,1.0,,,-3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,58235.0,,,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,30,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-24 10:26:16.000000,2023-02-10 13:49:02,326.0,214.0,333.0,1352.0,2022-10-19 07:57:17,0.17.2,,219407.0,65.0,4185.0,4185.0,82.0,https://pypi.org/project/ipyleaflet,161467.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,995210.0,1.0,,1145.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,45950.0,,,,,,,,,,,
9,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-04-13 22:49:36.000000,2023-04-13 22:49:36,139.0,59.0,78.0,207.0,2023-03-20 14:39:41,5.8.0,113.0,13549505.0,23.0,209093.0,209093.0,76.0,https://pypi.org/project/nbformat,13372237.0,https://anaconda.org/conda-forge/nbformat,2023-03-20 18:30:27.236,14890240.0,1.0,,,11.0,,,,,,,,,,,,,,
