,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-10-06 15:01:07.000000,2023-10-06 15:01:07,4273.0,1558.0,5632.0,15963.0,2021-01-30 02:36:56,7.18.1,320443.0,31512749.0,89.0,456133.0,456133.0,966.0,https://pypi.org/project/ipython,30824929.0,https://anaconda.org/conda-forge/ipython,2023-10-02 16:43:35.440,23981798.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-10-12 12:15:45.000000,2023-10-11 20:37:51,4034.0,738.0,6686.0,18110.0,,,,3808066.0,54.0,77210.0,77210.0,671.0,https://pypi.org/project/bokeh,3487722.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12813784.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-10-12 00:14:33.000000,2023-10-10 10:25:21,1521.0,181.0,545.0,11236.0,2023-10-10 11:09:25,4.6.0,,707924.0,51.0,1519.0,1519.0,115.0,https://pypi.org/project/pandas-profiling,703247.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,402287.0,1.0,ydataai/ydata-profiling,1351.0,,,,,,,,,,,,,,,
4,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-10-05 02:36:15.855000,2023-10-05 01:15:43,515.0,486.0,636.0,1564.0,2023-10-05 01:15:59,7.9.2,730.0,20463099.0,59.0,232796.0,232796.0,265.0,https://pypi.org/project/nbconvert,20036762.0,https://anaconda.org/conda-forge/nbconvert,2023-10-05 02:36:15.855,14921361.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-10-04 00:37:45.000000,2023-10-04 00:37:45,337.0,240.0,230.0,583.0,2023-09-04 16:37:34,6.25.2,1828.0,18437660.0,67.0,294271.0,294271.0,173.0,https://pypi.org/project/ipykernel,18429171.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,800484.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-10-01 17:04:39.000000,2023-09-01 15:16:27,182.0,104.0,226.0,375.0,,,,5235364.0,39.0,150541.0,150541.0,120.0,https://pypi.org/project/qtconsole,5122054.0,https://anaconda.org/conda-forge/qtconsole,2023-09-01 21:42:28.364,4532401.0,1.0,,1944.0,,,,,,,,,,,,,,,
7,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,31,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-10-12 08:23:35.000000,2023-10-12 08:23:26,4117.0,1972.0,2749.0,11610.0,2023-10-12 08:06:23,7.0.5,14883.0,18452866.0,74.0,345.0,345.0,641.0,https://pypi.org/project/notebook,18031251.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3818039.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-10 13:38:45.678360,1045.0,31185114.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-10-09 06:31:38.000000,2023-10-09 06:31:38,335.0,226.0,341.0,1405.0,2023-06-02 07:09:46,0.17.3,,233200.0,67.0,5532.0,5532.0,85.0,https://pypi.org/project/ipyleaflet,161210.0,https://anaconda.org/conda-forge/ipyleaflet,2023-09-11 12:39:04.948,1073727.0,1.0,,1150.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,45802.0,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-10-09 16:34:08.000000,2023-07-26 09:01:16,586.0,571.0,726.0,3532.0,2023-03-14 01:24:58,0.15.1,,61969.0,42.0,11372.0,11372.0,126.0,https://pypi.org/project/jupyter-book,61969.0,,,,1.0,,1424.0,6.0,,,,,,,,,,,,,,
