,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-11-11 17:38:53.000000,2023-11-06 09:31:50,4280.0,1568.0,5636.0,16004.0,2021-01-30 02:36:56,7.18.1,320559.0,32546790.0,90.0,470324.0,470324.0,971.0,https://pypi.org/project/ipython,31853048.0,https://anaconda.org/conda-forge/ipython,2023-11-01 14:10:05.674,24880927.0,1.0,,,,,,,,,,,,,,,,,
2,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-16 12:19:08.000000,2023-11-08 23:32:52,4043.0,743.0,6734.0,18295.0,,,,3903720.0,55.0,79265.0,79265.0,675.0,https://pypi.org/project/bokeh,3584678.0,https://anaconda.org/conda-forge/bokeh,2023-11-09 21:55:31.595,13080759.0,1.0,,,,,,,,,,,,,,,,,
3,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-11-16 10:06:26.000000,2023-11-02 08:01:34,1536.0,195.0,547.0,11397.0,2023-10-24 11:33:51,4.6.1,,713955.0,52.0,1790.0,1790.0,115.0,https://pypi.org/project/pandas-profiling,709243.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,409976.0,1.0,ydataai/ydata-profiling,1353.0,,,,,,,,,,,,,,,
4,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-11-08 12:59:15.000000,2023-11-08 12:59:15,519.0,492.0,638.0,1581.0,2023-11-06 12:38:32,7.11.0,803.0,21243131.0,61.0,239364.0,239364.0,267.0,https://pypi.org/project/nbconvert,20812533.0,https://anaconda.org/conda-forge/nbconvert,2023-11-06 16:05:13.867,15501048.0,1.0,,,,,,,,,,,,,,,,,
5,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,32,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-11-09 13:11:17.000000,2023-11-09 13:11:17,339.0,240.0,231.0,588.0,2023-10-24 23:55:26,6.26.0,1909.0,17757387.0,68.0,305514.0,305514.0,173.0,https://pypi.org/project/ipykernel,17748675.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,830361.0,1.0,,,10.0,,,,,,,,,,,,,,
6,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-16 00:13:41.000000,2023-11-16 00:13:41,186.0,105.0,229.0,382.0,,,,5316462.0,40.0,154575.0,154575.0,122.0,https://pypi.org/project/qtconsole,5204862.0,https://anaconda.org/conda-forge/qtconsole,2023-11-06 04:20:25.171,4575607.0,1.0,,1965.0,,,,,,,,,,,,,,,
7,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,31,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-11-14 18:39:07.000000,2023-11-10 01:53:11,4210.0,1978.0,2770.0,11730.0,2023-10-17 12:42:06,7.0.6,15465.0,17705810.0,76.0,530.0,530.0,643.0,https://pypi.org/project/notebook,17283641.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3934183.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1055.0,31546110.0,,,,,,,,,
8,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-10-27 22:48:05.000000,2023-10-09 06:31:38,337.0,229.0,342.0,1417.0,2023-06-02 07:09:46,0.17.3,,245299.0,67.0,5985.0,5985.0,85.0,https://pypi.org/project/ipyleaflet,166024.0,https://anaconda.org/conda-forge/ipyleaflet,2023-09-11 12:39:04.948,1086285.0,1.0,,1150.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,53412.0,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-11-13 16:33:48.000000,2023-10-29 20:21:13,592.0,573.0,729.0,3550.0,2023-03-14 01:24:58,0.15.1,,137873.0,42.0,11772.0,11772.0,128.0,https://pypi.org/project/jupyter-book,137873.0,,,,1.0,,1426.0,6.0,,,,,,,,,,,,,,
10,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-11-16 01:50:51.000000,2023-11-16 01:50:51,143.0,60.0,80.0,225.0,2023-07-31 10:35:35,5.9.2,217.0,17339966.0,26.0,248651.0,248651.0,79.0,https://pypi.org/project/nbformat,16829811.0,https://anaconda.org/conda-forge/nbformat,2023-07-31 14:51:04.971,20405998.0,1.0,,,11.0,,,,,,,,,,,,,,
11,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-11-12 16:50:57.000000,2023-11-12 10:15:14,372.0,116.0,513.0,6202.0,2023-09-16 21:39:17,1.15.2,,587761.0,100.0,6171.0,6171.0,83.0,https://pypi.org/project/jupytext,562610.0,https://anaconda.org/conda-forge/jupytext,2023-09-17 11:30:21.079,720071.0,1.0,,,,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,7589.0,,,,,,
12,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-11-15 20:29:44.000000,2023-11-15 15:05:14,381.0,873.0,2082.0,3248.0,2023-10-31 16:50:44,1.3.1,,619476.0,58.0,8968.0,8968.0,147.0,https://pypi.org/project/panel,589599.0,https://anaconda.org/conda-forge/panel,2023-11-01 10:33:06.060,1224988.0,2.0,,,,,,,,,,,,,,,,,
13,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,29,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2023-11-13 21:35:25.000000,2023-11-10 02:16:50,49.0,34.0,69.0,126.0,2023-11-07 18:01:22,0.9.0,393.0,13431519.0,32.0,133998.0,133998.0,37.0,https://pypi.org/project/nbclient,13144456.0,https://anaconda.org/conda-forge/nbclient,2023-06-16 19:18:04.408,12917223.0,1.0,,,,,,,,,,,,,,,,,
14,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,28,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-11-11 16:19:02.000000,2023-10-23 13:17:06,355.0,56.0,493.0,4339.0,2023-10-02 20:11:29,3.7.0,,126068.0,137.0,931.0,931.0,30.0,https://pypi.org/project/dtale,119956.0,https://anaconda.org/conda-forge/dtale,2023-10-02 20:41:19.114,256745.0,1.0,,765.0,,,,,,,,,,,,,,,
15,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2023-11-06 09:55:37.480000,2023-10-04 07:40:23,445.0,223.0,368.0,3489.0,2023-08-04 08:28:46,0.12.41,,174183.0,63.0,51.0,51.0,64.0,https://pypi.org/project/bqplot,140473.0,https://anaconda.org/conda-forge/bqplot,2023-11-06 09:55:37.480,1240750.0,1.0,,3656.0,,,,,,,bqplot,https://www.npmjs.com/package/bqplot,4169.0,,,,,,
16,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,28,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2023-11-14 18:05:35.000000,2023-11-14 18:05:35,369.0,56.0,2094.0,2491.0,2023-04-30 10:42:55,8.2.4,25.0,1482.0,78.0,493.0,493.0,237.0,https://pypi.org/project/nikola,1482.0,,,,2.0,,10383.0,,,,,,,,,,,,,,,
17,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,28,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2023-11-14 23:09:47.000000,2023-04-21 20:49:35,267.0,108.0,43.0,1732.0,,,,135852.0,3.0,5408.0,5408.0,55.0,https://pypi.org/project/ipython-sql,133030.0,https://anaconda.org/conda-forge/ipython-sql,2023-06-16 13:23:09.898,245547.0,1.0,,292.0,,,,,,,,,,,,,,,
18,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,27,finos/perspective,perspective-python,,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2023-11-15 22:13:15.000000,2023-11-14 16:20:36,856.0,101.0,580.0,6931.0,2023-11-01 07:55:13,2.6.1,1572.0,9117.0,7.0,101.0,101.0,93.0,https://pypi.org/project/perspective-python,7848.0,,,,1.0,,5797.0,6.0,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,876.0,,,,,,
19,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,27,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2023-11-16 00:12:03.000000,2023-11-15 07:14:02,388.0,130.0,249.0,5432.0,,,,1391397.0,18.0,5370.0,5370.0,113.0,https://pypi.org/project/papermill,1378507.0,https://anaconda.org/conda-forge/papermill,2023-08-30 21:31:47.332,528508.0,2.0,,,,,,,,,,,,,,,,,
20,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2023-10-02 20:57:42.000000,2023-06-16 01:18:19,214.0,136.0,154.0,1468.0,2023-02-15 19:21:40,0.9.3,,228338.0,28.0,9267.0,9267.0,32.0,https://pypi.org/project/ipympl,216365.0,,,,2.0,,,,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,11973.0,,,,,,
21,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:56:22.000000,2023-05-24 15:56:22,871.0,78.0,81.0,7197.0,2019-07-01 16:35:20,1.0.0,,226210.0,4.0,204.0,204.0,31.0,https://pypi.org/project/facets-overview,226210.0,,,,2.0,,277.0,,,,,,,,,,,,,,,
22,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2023-11-14 12:51:36.000000,2023-11-14 12:51:36,475.0,273.0,421.0,4984.0,2023-10-31 09:04:25,0.5.5,971.0,84120.0,70.0,10459.0,10459.0,68.0,https://pypi.org/project/voila,75624.0,https://anaconda.org/conda-forge/voila,2023-10-31 12:26:37.734,307435.0,2.0,,,,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,369.0,,,,,,
23,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,26,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2023-10-31 03:07:00.000000,2023-10-31 03:05:42,406.0,128.0,300.0,1264.0,2023-09-13 15:49:53,0.21.0,,33356.0,23.0,318.0,318.0,64.0,https://pypi.org/project/sparkmagic,30470.0,https://anaconda.org/conda-forge/sparkmagic,2023-09-23 23:23:29.586,109702.0,1.0,,1344.0,,,,,,,,,,,,,,,
24,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,26,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2023-11-13 04:29:25.000000,2023-08-11 17:18:48,236.0,46.0,29.0,935.0,2022-04-01 20:13:44,0.4.2,99.0,141844.0,11.0,3449.0,3449.0,10.0,https://pypi.org/project/jupyter-dash,141842.0,,,,2.0,,162.0,,,,,,,,,,,,,,,
25,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2023-11-16 10:16:30.000000,2023-11-13 14:31:25,1879.0,157.0,2174.0,7732.0,,,,257841.0,38.0,2570.0,2570.0,352.0,https://pypi.org/project/jupyterhub,188341.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1027316.0,1.0,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-11-01 10:22:33.138710,329.0,4951450.0,,,,,,,,,
26,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-10-06 00:41:42.000000,2023-10-06 00:41:38,534.0,164.0,1522.0,6094.0,2021-01-26 05:18:38,0.28.0,1473676.0,24040.0,66.0,2.0,2.0,177.0,https://pypi.org/project/nteract_on_jupyter,7666.0,,,,1.0,,10501.0,,,,,,,,,,,,,,,
27,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,25,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,2013-07-13 17:05:16.000,2023-10-11 19:11:18.000000,2022-12-21 19:56:24,781.0,343.0,461.0,5107.0,2022-11-15 17:24:23,0.7.0,,477295.0,2.0,20.0,20.0,136.0,https://pypi.org/project/jupyter_contrib_nbextensions,477295.0,,,,1.0,,2660.0,,,,,,,,,,,,,,,
28,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,25,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-11-11 13:27:53.000000,2023-09-22 07:25:13,899.0,661.0,1316.0,2935.0,2023-09-13 09:49:35,8.1.1,,11767987.0,52.0,2.0,2.0,212.0,https://pypi.org/project/ipywidgets,11403315.0,https://anaconda.org/conda-forge/ipywidgets,2023-09-13 12:15:46.781,12265540.0,2.0,,,-9.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,41895.0,,,,,,
29,nbgrader,True,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,25,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2023-09-21 17:39:34.000000,2023-09-12 14:04:24,295.0,249.0,640.0,1229.0,2023-09-05 12:35:02,0.9.1,281.0,11767.0,34.0,491.0,491.0,105.0,https://pypi.org/project/nbgrader,6983.0,https://anaconda.org/conda-forge/nbgrader,2023-09-13 22:27:45.981,153040.0,1.0,,,,,,,,,,,,,,,,,
30,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2023-06-16 16:19:15.930000,2021-02-16 04:46:41,160.0,164.0,261.0,1035.0,2019-12-04 15:06:08,1.1.18,,11936.0,19.0,260.0,260.0,33.0,https://pypi.org/project/pixiedust,10928.0,https://anaconda.org/conda-forge/pixiedust,2023-06-16 16:19:15.930,48389.0,1.0,,2157.0,,,,,,,,,,,,,,,
31,JupyterLab Debugger,True,"A visual debugger for Jupyter notebooks, consoles, and..",https://github.com/jupyterlab/debugger,,lab-extensions,25,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,BSD-3-Clause,2019-07-19 18:19:17.000,2022-03-15 11:03:46.000000,2021-03-31 14:20:34,40.0,17.0,245.0,558.0,2020-12-10 14:31:28,0.3.7,,71531.0,28.0,1280.0,1280.0,11.0,,,,,,1.0,,1174.0,,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,71531.0,,,,,,
32,ipyvuetify,True,Jupyter widgets based on vuetify UI components.,https://github.com/widgetti/ipyvuetify,,widgets,25,mariobuikhuizen/ipyvuetify,ipyvuetify,conda-forge/ipyvuetify,https://github.com/widgetti/ipyvuetify,MIT,2019-05-14 17:35:51.000,2023-11-16 12:38:25.000000,2023-11-01 16:13:05,50.0,64.0,134.0,318.0,2022-02-07 15:18:40,1.8.2,,112394.0,31.0,970.0,970.0,12.0,https://pypi.org/project/ipyvuetify,109469.0,https://anaconda.org/conda-forge/ipyvuetify,2023-06-16 16:15:58.169,152133.0,2.0,widgetti/ipyvuetify,262.0,,,,,,,,,,,,,,,
33,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,24,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2023-11-16 09:18:33.000000,2023-11-16 09:18:24,2781.0,15.0,841.0,7971.0,,,,899584.0,,21.0,21.0,238.0,,,,,,2.0,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-10-20 20:03:34.298948,433.0,89958491.0,,,,,,,,,
34,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2023-11-15 17:18:25.000000,2023-11-13 05:45:49,449.0,126.0,712.0,4591.0,2023-10-19 04:39:52,2.3.13,,55825.0,25.0,,,46.0,https://pypi.org/project/nbdev,55825.0,,,,2.0,,1679.0,,,,,,,,,,,,,,,
35,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,,2013-08-26 18:55:36.000,2023-10-29 13:51:07.000000,2023-10-29 13:51:05,399.0,153.0,294.0,3616.0,,,,19010.0,9.0,2664.0,2664.0,44.0,https://pypi.org/project/RISE,14895.0,https://anaconda.org/conda-forge/rise,2023-06-16 16:08:42.704,283998.0,2.0,,770.0,,,,,,,,,,,,,,,
36,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,24,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,,2015-11-16 09:25:53.000,2023-11-10 23:30:26.000000,2023-11-10 23:30:26,147.0,69.0,260.0,2529.0,2023-04-30 16:02:31,3.2.1,14.0,235445.0,23.0,131.0,131.0,50.0,https://pypi.org/project/nbdime,196028.0,https://anaconda.org/conda-forge/nbdime,2023-06-16 13:24:46.315,949557.0,2.0,,2126.0,,,,,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,27975.0,,,,,,
37,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,24,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2023-10-31 14:32:45.000000,2023-09-29 00:14:07,117.0,63.0,35.0,961.0,2023-05-05 07:10:14,0.6.3,,565467.0,6.0,516.0,516.0,24.0,https://pypi.org/project/jupyter_nbextensions_configurator,565467.0,,,,1.0,,527.0,,,,,,,,,,,,,,,
38,jupyter_server,True,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,24,jupyter-server/jupyter_server,jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2023-11-16 11:51:36.000000,2023-11-16 11:51:36,247.0,144.0,273.0,426.0,2023-11-15 13:58:09,2.10.1,2260.0,17372264.0,100.0,,,516.0,https://pypi.org/project/jupyter_server,17125277.0,https://anaconda.org/conda-forge/jupyter_server,2023-11-15 14:41:49.340,9383094.0,3.0,,,,,,,,,,,,,,,,,
39,Jupyter Themes,True,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,23,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,MIT,2014-12-10 23:22:23.000,2023-10-18 13:16:38.000000,2023-10-18 13:16:38,1064.0,193.0,201.0,9663.0,,,,39205.0,,21.0,21.0,43.0,https://pypi.org/project/jupyterthemes,39205.0,,,,2.0,,638.0,,,,,,,,,,,,,,,
40,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,23,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,MIT,2016-12-21 15:30:13.000,2023-07-07 18:11:05.000000,2023-07-07 13:05:16,229.0,184.0,131.0,1887.0,,,,78985.0,20.0,15.0,15.0,45.0,https://pypi.org/project/ipyvolume,71910.0,https://anaconda.org/conda-forge/ipyvolume,2023-06-05 11:50:27.103,451052.0,2.0,widgetti/ipyvolume,1007.0,-4.0,,,,,,ipyvolume,https://www.npmjs.com/package/ipyvolume,1507.0,,,,,,
41,repo2docker,True,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,23,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2023-11-10 09:47:15.000000,2023-11-07 09:03:02,325.0,159.0,362.0,1541.0,2022-10-18 19:01:00,2022.10.0,,7774.0,12.0,197.0,197.0,119.0,https://pypi.org/project/jupyter-repo2docker,7774.0,,,,2.0,,,,,,,,,,,,,,,,,
42,itables,True,Interactive Tables in Jupyter.,https://github.com/mwouts/itables,,widgets,23,mwouts/itables,itables,,https://github.com/mwouts/itables,MIT,2019-04-15 22:09:44.000,2023-11-14 05:01:51.000000,2023-10-07 10:50:34,41.0,20.0,78.0,529.0,2023-10-07 10:51:41,1.6.2,,131737.0,42.0,342.0,342.0,6.0,https://pypi.org/project/itables,131737.0,,,,2.0,,,,,,,,,,,,,,,,,
43,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,,2015-04-09 09:40:33.000,2023-11-09 23:47:42.000000,2023-01-11 11:27:13,46.0,39.0,65.0,419.0,,,,122922.0,9.0,2746.0,2746.0,33.0,https://pypi.org/project/nbval,112861.0,https://anaconda.org/conda-forge/nbval,2023-10-11 12:34:56.839,402451.0,2.0,,465.0,,,,,,,,,,,,,,,
44,Resource Usage,True,Jupyter Notebook Extension for monitoring your own Resource..,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,23,jupyter-server/jupyter-resource-usage,jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,BSD-2-Clause,2016-04-22 07:01:34.000,2023-11-14 17:48:11.000000,2023-11-14 17:48:06,94.0,40.0,45.0,409.0,2023-08-29 14:10:55,1.0.1,263.0,49811.0,13.0,473.0,473.0,34.0,https://pypi.org/project/jupyter-resource-usage,37225.0,https://anaconda.org/conda-forge/nbresuse,2023-06-16 19:18:24.900,553489.0,2.0,,,,,,,,,,,,,,,,,
45,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,23,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2023-11-09 15:58:48.000000,2023-11-09 15:58:46,262.0,169.0,197.0,337.0,2023-11-06 12:55:30,8.6.0,1375.0,21386748.0,51.0,,,130.0,https://pypi.org/project/jupyter-client,21386698.0,,,,2.0,,,,,,,,,,,,,,,,,
