,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-03-19 13:26:08.000000,2024-03-17 08:11:05,4289.0,1598.0,5668.0,16113.0,2021-01-30 02:36:56,7.18.1,320814.0,43877671.0,98.0,519709.0,519709.0,984.0,https://pypi.org/project/ipython,43218288.0,https://anaconda.org/conda-forge/ipython,2024-03-04 14:01:19.927,26274288.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,36,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-03-18 23:20:17.000000,2024-03-14 18:46:38,4479.0,1900.0,2917.0,12132.0,2024-03-14 18:48:01,7.1.2,17081.0,24735619.0,86.0,272115.0,272115.0,646.0,https://pypi.org/project/notebook,24324403.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4092774.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1070.0,32454868.0,9.0,,,,,,,,,,,
3,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,34,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-03-10 17:59:47.000000,2024-03-10 15:55:59,528.0,513.0,646.0,1649.0,2024-03-04 16:20:06,7.16.2,1074.0,25968537.0,71.0,261288.0,261288.0,271.0,https://pypi.org/project/nbconvert,25560631.0,https://anaconda.org/conda-forge/nbconvert,2024-03-04 19:54:11.460,16315520.0,1.0,,,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-03-19 14:10:38.000000,2024-03-12 12:17:52,349.0,247.0,240.0,603.0,2024-02-26 20:27:01,6.29.3,2158.0,26332855.0,75.0,344814.0,344814.0,182.0,https://pypi.org/project/ipykernel,26324116.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,867624.0,1.0,,,,,,12.0,,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-20 22:45:23.000000,2024-03-20 15:13:04,4100.0,721.0,6853.0,18696.0,,,,5143744.0,59.0,85177.0,85177.0,689.0,https://pypi.org/project/bokeh,4843909.0,https://anaconda.org/conda-forge/bokeh,2024-03-15 07:03:52.633,13492617.0,1.0,,,,,,,,,,,,,,,,,
6,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-03-21 12:53:35.000000,2024-03-19 14:28:58,1596.0,211.0,557.0,11921.0,2024-03-18 18:22:40,4.7.0,72.0,545098.0,57.0,2688.0,2688.0,119.0,https://pypi.org/project/pandas-profiling,540472.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,421005.0,1.0,,,,,,,ydataai/ydata-profiling,1381.0,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2024-02-22 18:19:19.000000,2023-11-25 20:30:31,189.0,108.0,230.0,391.0,,,,5537153.0,41.0,167589.0,167589.0,122.0,https://pypi.org/project/qtconsole,5434120.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4636509.0,1.0,,,,,,,,1971.0,,,,,,,,,
8,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,32,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2024-03-15 11:33:10.142000,2024-03-15 10:06:49,149.0,61.0,82.0,240.0,2024-03-15 10:07:15,5.10.3,245.0,24432236.0,28.0,272407.0,272407.0,80.0,https://pypi.org/project/nbformat,23946024.0,https://anaconda.org/conda-forge/nbformat,2024-03-15 11:33:10.142,21393082.0,1.0,,,,,,13.0,,,,,,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2024-03-20 22:15:46.000000,2024-03-11 09:38:53,604.0,593.0,743.0,3652.0,2024-01-26 21:10:26,1.0.0,,90574.0,43.0,13043.0,13043.0,137.0,https://pypi.org/project/jupyter-book,90574.0,,,,1.0,,,,,,7.0,,1529.0,,,,,,,,,
